be.yildiz-games	module-compression	1.0.0		86121283bbf7d7b708b1b27e4dbac8df18b42398
ch.epfl.lamp	dotty-interfaces	0.1-20160906-75f4400-NIGHTLY		8432291e40c25b98c53ce99c3c2ac063a14d7cf6
ch.epfl.lamp	dotty-interfaces	0.1-20160914-3f3df3d-NIGHTLY		7d7aee80109b1ff3a087f37a2e87e15a0176dcab
ch.epfl.lamp	dotty-interfaces	0.1-20160915-5d8f132-NIGHTLY		4b146085d0ddca6888caf673cd992b703ce670a5
ch.epfl.lamp	dotty-interfaces	0.1-20160916-c420b4c-NIGHTLY		a7dfcac76b6cee70e2fc1ffa772445c915a3ac49
ch.epfl.lamp	dotty-interfaces	0.1-20160918-a062bac-NIGHTLY		4fb2c6fa7f58e4cb371463720af131462d6eb838
ch.epfl.lamp	dotty-interfaces	0.1-20160921-a83d436-NIGHTLY		90536753945852bc1974bc2bf0f25eec86f30ad3
ch.epfl.lamp	dotty-interfaces	0.1-20160922-a27ac72-NIGHTLY		ea9efaaac0754a18ea4b394b4c8fd2cd390b4d37
ch.epfl.lamp	dotty-interfaces	0.1-20160923-28940d3-NIGHTLY		93c2766f3351f2606f5ed5ad5d476441b2001114
ch.epfl.lamp	dotty-interfaces	0.1-20160925-b2b475d-NIGHTLY		15b17e7d76f397d033504ab5f02a1c341a0be8dd
ch.epfl.lamp	dotty-interfaces	0.1-20160926-ec28ea1-NIGHTLY		6fffd600b8e4da478c69dbcacb697453a937e15f
ch.epfl.lamp	dotty-interfaces	0.1-20160930-93d4c8c-NIGHTLY		84c9b7903e9bdd2978cf1acc9eefd08aa3ce6437
ch.epfl.lamp	dotty-interfaces	0.1-20161026-557d448-NIGHTLY		efa888da7f0251c4c297ce7385dd80ac97479f75
ch.epfl.lamp	dotty-interfaces	0.1-20161031-01ae7dd-NIGHTLY		2f5e2c3b1e130610a78cbbe8a244ba717f8c9322
ch.epfl.lamp	dotty-interfaces	0.1-20161102-0de3797-NIGHTLY		bb40c08d76661f5592fdcfb437c6747b91ebd0bc
ch.epfl.lamp	dotty-interfaces	0.1-20161104-6ba6ea5-NIGHTLY		086fd980340ae703dbf8a0ebfca5771439c77057
ch.epfl.lamp	dotty-interfaces	0.1-20161104-a0dcc08-NIGHTLY		f1693ff4ba3f659e16e83b91bca6f532eaeea274
ch.epfl.lamp	dotty-interfaces	0.1-20161105-a55a260-NIGHTLY		b03d4d59f4ee104184d63aafd7b85963b6e5ca69
ch.epfl.lamp	dotty-interfaces	0.1-20161106-bffefe9-NIGHTLY		25790b925d4137b895b98f2700cd9914a98e83c5
ch.epfl.lamp	dotty-interfaces	0.1-20161107-5cef7a9-NIGHTLY		9ec9d89ddf97274da7317e66045b5806ad33ae17
ch.epfl.lamp	dotty-interfaces	0.1-20161108-cf92c40-NIGHTLY		5fc472b372c1d50ece7e4f59cb9ccf2fbe16eb28
ch.epfl.lamp	dotty-interfaces	0.1-20161109-ab652d1-NIGHTLY		2eb3e1daf1c17fbaa8d5e6e3daada365aa6e414f
ch.epfl.lamp	dotty-interfaces	0.1-20161110-28c2e04-NIGHTLY		507d0c22f80d9c0b8dca32cca7736e91df37c77e
ch.epfl.lamp	dotty-interfaces	0.1-20161111-d60f89d-NIGHTLY		e3a49d773afc239e8ea81c410484a87c50a2eb70
ch.epfl.lamp	dotty-interfaces	0.1-20161112-c4f2024-NIGHTLY		3fbc5e2b0a0e87aa5882d404f09d56833a549c56
ch.epfl.lamp	dotty-interfaces	0.1-20161114-2d18af6-NIGHTLY		7447c7e854878f882e381f9b530810a366021db1
ch.epfl.lamp	dotty-interfaces	0.1-20161116-0397af7-NIGHTLY		ac5ff7e6d2ba31a8bdc194c0c57b143558745902
ch.epfl.lamp	dotty-interfaces	0.1-20161116-58a3ed9-NIGHTLY		be7d93aa9c9c273362f565c6e67fc006c41c7ce1
ch.epfl.lamp	dotty-interfaces	0.1-20161117-dd0db48-NIGHTLY		cca67ade42d0148f21bd0cb342e0ce7133ca65b9
ch.epfl.lamp	dotty-interfaces	0.1-20161118-601a286-NIGHTLY		76fa2fc3db0894db97ea73a2268ef5441b09d65a
ch.epfl.lamp	dotty-interfaces	0.1-20161129-3f7614a-NIGHTLY		0b7f759ee444e43b6cba45fe43b8106c3be117e4
ch.epfl.lamp	dotty-interfaces	0.1-20161130-b9350f4-NIGHTLY		e9f371f9cc8b1e0c3b511b6c48c6416d99f1ab9d
ch.epfl.lamp	dotty-interfaces	0.1-20161201-47d2084-NIGHTLY		b6926c1d21c205737195bc5d58cea446f3fe6792
ch.epfl.lamp	dotty-interfaces	0.1-20161203-9ceed92-NIGHTLY		ed6fdbb2d4e3a950a18ccffe8e48e63c6bee05de
ch.epfl.lamp	dotty-interfaces	0.1-20161208-ac160ea-NIGHTLY		99f6f84030f21ce9f340763d899ef5f9404df291
ch.epfl.lamp	dotty-interfaces	0.1-20161210-d900813-NIGHTLY		622b8c6ee89cb09facf33110f3813462ee7d1f55
ch.epfl.lamp	dotty-interfaces	0.1-20161211-740ccf8-NIGHTLY		079444c9fb8e115c9d003fc712d67b01d1a2209f
ch.epfl.lamp	dotty-interfaces	0.1-20161212-7775aab-NIGHTLY		05b72684c6a246be5790b5a66297c6efd8e33e5f
ch.epfl.lamp	dotty-interfaces	0.1-20161214-ba06bf0-NIGHTLY		3a500ab9229a67e2aa27b12fd4ff5db39eb1e549
ch.epfl.lamp	dotty-interfaces	0.1-20161215-a5620ab-NIGHTLY		cf4e1fe924b45dcd663fd30740d4863fd4368357
ch.epfl.lamp	dotty-interfaces	0.1-20161216-ee5dd32-NIGHTLY		a06814fadb610e272747ca75d3ca95227e25226a
ch.epfl.lamp	dotty-interfaces	0.1-20161217-5df985c-NIGHTLY		97ae743f57b3211db845829dcdccfa043f149054
ch.epfl.lamp	dotty-interfaces	0.1-20161218-59f783a-NIGHTLY		6cc6d9c470a43f7896119d34e24d2b8c96df1001
ch.epfl.lamp	dotty-interfaces	0.1-20161219-e23c278-NIGHTLY		237e5125b81d023c93074c181cf8db293ba518e1
ch.epfl.lamp	dotty-interfaces	0.1-20161220-098c50a-NIGHTLY		42c92b216b02c24f6ec20cf1eb6970dc9530ffe1
ch.epfl.lamp	dotty-interfaces	0.1-20161221-404ce76-NIGHTLY		b5bbccc2ec3ee91f427fa4aa1705ccc966c1391a
ch.epfl.lamp	dotty-interfaces	0.1-20161222-1197257-NIGHTLY		c4f8ddcdbbc83c399bb6f694c9fe828e266feda3
ch.epfl.lamp	dotty-interfaces	0.1-20161225-1254fe4-NIGHTLY		27b27c14fbe49201a861acd8b1385a1860c1d0f4
ch.epfl.lamp	dotty-interfaces	0.1-20161226-1b3649d-NIGHTLY		5d75c8d98282d1617da66669a684ca90db883776
ch.epfl.lamp	dotty-interfaces	0.1-20161227-5b984ac-NIGHTLY		845a8022b85216a1d35497263766bc5b22d927f7
ch.epfl.lamp	dotty-interfaces	0.1-20161228-39c27b6-NIGHTLY		b1b465e38166cc3a3b7753b1d01490557e9ece54
ch.epfl.lamp	dotty-interfaces	0.1-20170103-7997ca5-NIGHTLY		1d64c2a2734f3a978318fcc75fdf795215301ebd
ch.epfl.lamp	dotty-interfaces	0.1-20170104-3922cce-NIGHTLY		63db380fdc223f6050a7d35128f4f7541acf3481
ch.epfl.lamp	dotty-interfaces	0.1-20170105-42eb864-NIGHTLY		a68264f06daf8b10a29fcc1ce0954c4a677e221d
ch.epfl.lamp	dotty-interfaces	0.1-20170106-bf9888e-NIGHTLY		f6ee7a03c860882c495fe52f3d78365917608b72
ch.epfl.lamp	dotty-interfaces	0.1-20170107-a909c2f-NIGHTLY		a187ed3bf972a9a8e48cb87d7bbe28c342705463
