aero.champ	cargojson	1.0	-	f37a0a83adfd408d8cf44059ac4b1a57e8dc7eee
app.cash.paging	paging-testing-tvossimulatorarm64	3.3.0-alpha02-0.4.0	3.3.0-alpha02-0.4.0-metadata	853fe60f68a03ae88de1b0f0cc4be9445b33869e
app.cash.paging	paging-testing-tvossimulatorarm64	3.3.0-alpha02-0.5.0	3.3.0-alpha02-0.5.0-metadata	f17ef0df21d70ab3a4685442bac03214251ec93e
app.cash.paging	paging-testing-tvossimulatorarm64	3.3.0-alpha02-0.5.1	3.3.0-alpha02-0.5.1-metadata	9f2b9db8b5889d4f989ad3fede48e792d8fafb99
at.asitplus.wallet	healthid-iosarm64	2.0.0	2.0.0-metadata	bf47a7b7eb87d6a40f09c5aeeb926e458ceb4352
at.asitplus.wallet	healthid-iosarm64	2.1.0	2.1.0-metadata	13116d46fc767911cc8cfe579a058a4aa579e94d
aws.sdk.kotlin	geomaps-jvm	1.3.100	-	fae264d1d9d063a7107559983d7b450d5eaf35e1
aws.sdk.kotlin	geomaps-jvm	1.3.101	-	f9a89f90d9b17744ed72bc2d2ac2cbcb5bd25c77
aws.sdk.kotlin	geomaps-jvm	1.3.102	-	f4ec7a628b7cb4b38609fd7fc6a0b5b3c3c29359
aws.sdk.kotlin	geomaps-jvm	1.3.103	-	bd30bcaa61975ae46ded1f4a3308a4dedd3da6e0
aws.sdk.kotlin	geomaps-jvm	1.3.104	-	adaee6d131c6ae05912027fc44a3853dd5c253f6
aws.sdk.kotlin	geomaps-jvm	1.3.105	-	e6896c5bb164b074ba87d2cc70f5e93094eb42e3
aws.sdk.kotlin	geomaps-jvm	1.3.106	-	fea3206bf941546a4dfbc9840437d84858c55119
aws.sdk.kotlin	geomaps-jvm	1.3.107	-	11a4a906f0f0534a2169b645dc83df8c34302755
aws.sdk.kotlin	geomaps-jvm	1.3.108	-	7dfdd6db859eedbbf2b67e7a15250620ea9dd742
aws.sdk.kotlin	geomaps-jvm	1.3.109	-	2c67253d10fc4319bfe170de48a32061f63083df
aws.sdk.kotlin	geomaps-jvm	1.3.110	-	fc84c2b4746178cb51e4282fe1bc85e0bed39e7f
aws.sdk.kotlin	geomaps-jvm	1.3.111	-	73c249c1da10a27f69ed99c57917eb523b4ea028
aws.sdk.kotlin	geomaps-jvm	1.3.112	-	6c5fb1d87e6cf96e48570af5c9e33ffd2479bc52
aws.sdk.kotlin	geomaps-jvm	1.3.65	-	dde299906ca42bbce5dda176e4218170921c4175
