br.com.jbugbrasil.bot	telegram-api-parent	1.0-Beta		N/A
cc.sofast.infrastructure	multi-tenancy-spring-boot-starter	0.0.1		N/A
cc.sofast.infrastructure	multi-tenancy-spring-boot-starter	0.0.1	plain	521ff4a01b36f2da36ecd541c98b5dd00780e4a3
ch.venky.redfort	redfort	0.0.1		96a94eba0231e96c85a6c89a522c4a898bbb56a6
cloud.altemista.fwk.microservices	cloud-altemistafwk-core-microservices-gateway-conf	3.0.0.RELEASE		7cd5f9172ed8ff1d960c4f214e784303309e199b
cloud.altemista.fwk.microservices	cloud-altemistafwk-core-microservices-gateway-conf	3.0.1.RELEASE		a82d2ac278f7367da35acbc6a17e8650d2f7f36a
cloud.altemista.fwk.microservices	cloud-altemistafwk-core-microservices-gateway-conf	3.1.0.RELEASE		4a8eeb14a8d853471aaac07a22ac315adc3ad0af
cn.iisme.cloud	iisme-tools	1.0.1		N/A
cn.sunxiansheng	common-web-starter	0.0.6		bb3babe0e1d6cec76adabd740fcdf7f25b7a16e4
cn.sunxiansheng	common-web-starter	1.0.0		c5b30a712185e8e63af852d56b79cb15fbe30039
cn.sunxiansheng	common-web-starter	1.1.0		db3e2002082409c8197e0581dbb80b4e8ebc1cdd
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.10		ddb5759450e86a83167e0a64adc38bb57640f420
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.11		b8ab1e47fe4d77dd7635ae6719ad685b2c94aea6
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.3		27cf6a4a47d25a0785c365eb67b10adfd51ae779
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.4		f9b1d49e20fd59ef5df8cebeae31e03080c025ce
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.5		3ba7995e8de604cc2c0d1fcf1b5d02a9459243a4
com.anymindgroup	zio-pubsub_native0.5_2.13	0.2.6		c297cd9bb08ad7c5461cd38e92e9665378a9eb03
