at.bestsolution.eclipse	org.eclipse.jdt.annotation	2.0.100	-	52cce5b7b78b33bb9ba2752f6355305cc809c657
at.newmedialab.ldpath	ldpath-functions-math	0.9.13	-	5e6e18991aa1f1c13cfe96d61e55dc6574573cc8
at.newmedialab.ldpath	ldpath-functions-math	2.6.0	-	31d771346d82cb19a0505c3c966215c285873b42
aws.sdk.kotlin	codebuild	0.10.0-beta	-	bdc3a75f51b8f317c54bd4487353c37981083c5d
aws.sdk.kotlin	codebuild	0.10.1-beta	-	53e5ad9de2e73d2dd7a8340a1a9f2a3dc247f769
aws.sdk.kotlin	codebuild	0.11.0-beta	-	cd8d09eeacfc8fdc22bd971f85716d5e10ae237f
aws.sdk.kotlin	codebuild	0.12.0-beta	-	88b12ffadd37c236df7af0ffb08a0f26a701959d
aws.sdk.kotlin	codebuild	0.13.0-beta	-	8e348032bd5581f99cce2f427e4c6bb296e4e0f9
aws.sdk.kotlin	codebuild	0.13.1-beta	-	6055c6a83e910b6168dfd2f07c7dbae16d044e85
aws.sdk.kotlin	codebuild	0.14.0-beta	-	ec224800b6391b4b197c92a579832d16ca433984
aws.sdk.kotlin	codebuild	0.14.1-beta	-	e276aaf0bba082d8aa1b5730efb54aaa44e9a84c
aws.sdk.kotlin	codebuild	0.14.2-beta	-	ef45314078e162f51c26e9a18c7c7160d712292d
aws.sdk.kotlin	codebuild	0.14.3-beta	-	42779ee89fc5f832bd71cbfc6beca4632d5e9723
aws.sdk.kotlin	codebuild	0.14.4-beta	-	3cf76f527c6ceb3b2df30bbfffbebf5691d3d66d
aws.sdk.kotlin	codebuild	0.15.0	-	023e8d732abf4ce20d16ec0524262c48cb96c93b
aws.sdk.kotlin	codebuild	0.15.1-beta	-	4f389a65f09475c9fb82ce0e9a2256f6714179f4
aws.sdk.kotlin	codebuild	0.15.2-beta	-	23af2f4f8ffad046a9afff32bfb3b2a2c2fd8ce8
aws.sdk.kotlin	codebuild	0.16.0	-	2d590a41fbd30b8676b5188a573e7b20cf0e2569
aws.sdk.kotlin	codebuild	0.16.1-beta	-	8f260ff0d91a6ecaa4f475e9b8ad0901c6958238
aws.sdk.kotlin	codebuild	0.16.2-beta	-	cb190b2dec0d5bbff2dd82f32b44761a262b3046
aws.sdk.kotlin	codebuild	0.16.3-beta	-	31c47197090c35c5a8a4abd1f67e197b817e35d4
aws.sdk.kotlin	codebuild	0.16.4-beta	-	3451098b8ae69528ad67dd1099de953c6fd4d5ae
aws.sdk.kotlin	codebuild	0.16.5-beta	-	e434fdc9b80c3ccee715611955daca7a7595c94b
aws.sdk.kotlin	codebuild	0.16.6-beta	-	da7d46890c30fb66c0656e4433c373b9f6d61b9b
aws.sdk.kotlin	codebuild	0.16.7-beta	-	345448ce555b35904c6691be46c8dead5d70f961
aws.sdk.kotlin	codebuild	0.17.0-beta	-	8cae39b8c20e37068207ece2e12e1529a4b636ad
aws.sdk.kotlin	codebuild	0.17.1-beta	-	0aa8653ced58d9748c723ca7d7b3cc301bd04d0e
aws.sdk.kotlin	codebuild	0.17.10-beta	-	d8670ba40078f29ab62ad66765e7366eb4f9fe5b
aws.sdk.kotlin	codebuild	0.17.10-beta	0.17.10-beta-all	a5e867245327d30af36eff71f514596f882db592
aws.sdk.kotlin	codebuild	0.17.11-beta	-	ab17918fd4c36ab9970ddf9a5662d3bca24c44a0
aws.sdk.kotlin	codebuild	0.17.11-beta	0.17.11-beta-all	425f41b9c55d65d2247997508e354ab4e88f2ecd
aws.sdk.kotlin	codebuild	0.17.12-beta	-	58fe410d9f99b361403200c326beb73a1a610c2c
aws.sdk.kotlin	codebuild	0.17.12-beta	0.17.12-beta-all	413cf931a4048ab6d5b253dfb20eb93c6150598b
aws.sdk.kotlin	codebuild	0.17.2-beta	-	536cd9a7833ff3ef31d434744d47d09411141b5a
aws.sdk.kotlin	codebuild	0.17.3-beta	-	af581c3365a6e43ef08e9b7b19d7763cc4fdf35f
aws.sdk.kotlin	codebuild	0.17.4-beta	-	4115dc12dfd3670fcbe15416a2b7904df8a57708
aws.sdk.kotlin	codebuild	0.17.5-beta	-	e02a3e253fc8d047123a0f5a3c00049fd9890d3c
aws.sdk.kotlin	codebuild	0.17.6-beta	-	8f58bbaae253fe01931d4d5bcc1093a2f0b03799
