avalon-http	avalon	http		N/A
be.orbinson.aem	groovy-osgi	19.0.0		df2edfb4636a6f3869700d97e963f29ad256d3f6
be.orbinson.aem	groovy-osgi	19.0.1		8f49ac78140da67a51bbd446c412a31cd667c52b
be.orbinson.aem	groovy-osgi	19.0.2		c3248b6d2750459eab3aee0bc233fede01bf0cc7
be.orbinson.aem	groovy-osgi	19.0.3		33222cd472a8a2c6497e6002a19ef3796b34cc50
be.orbinson.aem	groovy-osgi	19.0.4		2eedbe7bd2be67d5726ae11449a7c6198ba1a62d
be.orbinson.aem	groovy-osgi	19.0.5		f4f5fdffdbd2af8af0c5a99b70be4435bb23bd9b
be.orbinson.aem	groovy-osgi	19.0.6		0fa63c2a8a2bfb670b40c58580c31b05f467cd98
be.orbinson.aem	groovy-osgi	19.0.7		fb286826e0ad1f383bb126c35344b6ff4f618768
be.orbinson.aem	groovy-osgi	19.0.8		fe44d6d88f82a32c16a0093da18e39da0b892719
cn.sliew	milky-concurrent-future	1.0.14		b3c2e9f3c2c17d60a758d88ce7bd734453e58fef
cn.sliew	milky-concurrent-future	1.0.15		504a5a83b3707d119aa5d20c4abea3ed91b929f2
cn.sliew	milky-concurrent-future	1.0.16		b4fef099a6c58f832a7952787e7b6e658a054e7b
com.avsystem.scex	scex-macros_2.13.14	1.31.0		3fd8cddbe962f704effee13dbd3e696409c1c7d3
com.avsystem.scex	scex-macros_2.13.14	1.31.1		7a86b27287e475b577f3bed0934f2c5a35a7255c
com.avsystem.scex	scex-macros_2.13.14	1.32.0		03ba9d73277dc9d2417c03830bb8a7fdf6b7b900
com.avsystem.scex	scex-macros_2.13.14	1.33.0		757ce48986786394895bf8d4f2ade7f0d0cb1d06
com.azure.spring	azure-spring-cloud-starter-cache	2.0.0		e558d33c7061f51f310fe663cc57b01e276da7e6
com.azure.spring	azure-spring-cloud-starter-cache	2.0.0-beta.1		eb562247ac88fcf5c1a0d0ba5f1ccc31e7727209
com.azure.spring	azure-spring-cloud-starter-cache	2.1.0		3068117ed0e5a4c94de51f1e004a7b32367255a7
com.azure.spring	azure-spring-cloud-starter-cache	2.10.0		761caa1a025ad22f15db0707e343d8af501a910c
com.azure.spring	azure-spring-cloud-starter-cache	2.11.0		955623cba5427f74d8c0bcf727d95ef6e7bed555
com.azure.spring	azure-spring-cloud-starter-cache	2.12.0		a84c1e3e52fd91f15ee7b8a946faf68df74b8943
com.azure.spring	azure-spring-cloud-starter-cache	2.13.0		6fa4abaedc2d1b503579849414a4b3e8bbb632dc
com.azure.spring	azure-spring-cloud-starter-cache	2.14.0		526d3e361000901ae36b79a2c8b3e05a7d0d410c
com.azure.spring	azure-spring-cloud-starter-cache	2.2.0		cf2dd747c3a2880ee8e7657fa2479f60413eab59
com.azure.spring	azure-spring-cloud-starter-cache	2.3.0		f70b2c4683c5a7023e1c692414214fef094c9529
com.azure.spring	azure-spring-cloud-starter-cache	2.4.0		deccd7e52a8dba9365fc72fbafa9db49cfa40672
com.azure.spring	azure-spring-cloud-starter-cache	2.5.0		103cda34222a517ed31004cd54545b513d351709
com.azure.spring	azure-spring-cloud-starter-cache	2.6.0		eeaecc7a6c960352d4aeafc32f0d43c46b332b6c
com.azure.spring	azure-spring-cloud-starter-cache	2.7.0		6399b78b19846dd90e91c65dc0bfa437d51af210
com.azure.spring	azure-spring-cloud-starter-cache	2.8.0		318978ed76c7e5b4ef411619e3e856c3f6ef4295
com.azure.spring	azure-spring-cloud-starter-cache	2.9.0		aa7f72a648eb6d71da2d696e8b7b37a37f104b0e
com.bestxty	orderd-junit-spring	1.0.1		bb20ce92875a7ae6f6531b71bd301c99f2b29a1d
com.codingapi.leaf	leaf-server	0.0.1		b2c54df9628b9ca3887a7d23f44c6164ec43de8c
com.eed3si9n	shaded-scalajson_3	1.0.0-M4		0d5d88c0adbb95bfff0e1dab1256fb112b9cf070
com.fancydsp	ad-interactive	1.4.4		N/A
com.github.biezhi	ucloud-java-sdk	1.0.0		30416e5aaea52effd248aeb4d77e4f40fb53ecc9
com.github.hinsteny	commons-warp	0.0.1		6d6064746bb385498e7a71d1dd9dcbf78d445c91
com.github.hinsteny	commons-warp	0.0.2		bd01f4d744ba34deb09ca61ca99b37d5e9724165
com.github.hinsteny	commons-warp	0.0.3		6890875fe7ce9527c04c344220f30fc83ddc4d31
com.github.leeonky	interpreter-core	0.0.1		684709469d663d7f0ebc6d8f1367523b7bb6169c
com.github.leeonky	interpreter-core	0.0.10		99154746d1528c85fcb368f59efdabe1b72a50b8
com.github.leeonky	interpreter-core	0.0.11		99a714e08517a956bfc2c8c02923eff9c3f77575
com.github.leeonky	interpreter-core	0.0.12		077e211b32154e91271dd628d825f6a309feb0fa
com.github.leeonky	interpreter-core	0.0.13		e633942abe0a34847c46515925ac30a2cff0a4df
com.github.leeonky	interpreter-core	0.0.14		4a405fb32db45fbda4171e7f7ae53d85f0690059
com.github.leeonky	interpreter-core	0.0.15		8409b344e7256fb00b77a68d04b6527db1ce67ec
