au.id.tmm.tmm-scala-collections	tmm-scala-collections-core_3	0.2.0		28ba8d47c04a3d75e9cf34e62195ec833df9ac84
aws.smithy.kotlin	aws-signing-common-jvm	0.10.0		cd99b2ffa50a23d82b5ef15f7e098655fd0b7210
aws.smithy.kotlin	aws-signing-common-jvm	0.10.1		2a688654a95e43fa630f26a116291f4111fac8dd
aws.smithy.kotlin	aws-signing-common-jvm	0.10.2		c393e74ac256db9a18df3f415f913a40591a0414
aws.smithy.kotlin	aws-signing-common-jvm	0.11.0		70e78313da1b86ffce27f18c783057d658b4f7e4
aws.smithy.kotlin	aws-signing-common-jvm	0.11.1		25443b5cf543520f20af5ad1c5f619ed91dd7cd0
aws.smithy.kotlin	aws-signing-common-jvm	0.11.2		46657290db6a56fbcfcf8ff0b38da5552ea21cd0
aws.smithy.kotlin	aws-signing-common-jvm	0.12.0		c384cae3b3dacfd3fa7b665cb42eac81df781b09
aws.smithy.kotlin	aws-signing-common-jvm	0.12.1		08e2441d258f047563e720371542d50c9458ee9b
aws.smithy.kotlin	aws-signing-common-jvm	0.12.10		cc533ec57067532e5ddf7012b27029325c19ccc3
aws.smithy.kotlin	aws-signing-common-jvm	0.12.11		3a1266ebd8cc601b93c1cf6eca3add20daa0ae80
aws.smithy.kotlin	aws-signing-common-jvm	0.12.12		61b9bbaab51d59aae2c21ba47cb822b46910675f
aws.smithy.kotlin	aws-signing-common-jvm	0.12.13		3ae961c6ecb0d4d6593591529db96ed0d8da7291
aws.smithy.kotlin	aws-signing-common-jvm	0.12.2		c8cf50c224bcc00d3ad2815dc6284f986f2a43b5
aws.smithy.kotlin	aws-signing-common-jvm	0.12.4		005c4b9decf97e8887426042571a69d7d4aeccba
aws.smithy.kotlin	aws-signing-common-jvm	0.12.5		31d6a4b79298adb87468ee3c6789274eec21a72d
aws.smithy.kotlin	aws-signing-common-jvm	0.12.6		f999fa6316af7443980126be6c1ee2b92aadd21b
aws.smithy.kotlin	aws-signing-common-jvm	0.12.7		69eeffde7a86980196a25c12451b5f6bc5f9afa8
aws.smithy.kotlin	aws-signing-common-jvm	0.12.8		bf30dfefe87a1ef4b825fbc04b1e5a5d6dfb06e3
aws.smithy.kotlin	aws-signing-common-jvm	0.12.9		ce6f1b1d81a0b6baede1921fc487ffd25d000ca9
aws.smithy.kotlin	aws-signing-common-jvm	0.13.0		7b10ba687f507bec847e093c1c72bb0cb91573a1
aws.smithy.kotlin	aws-signing-common-jvm	0.13.1		e15903f24307ae95eb6d37c4781a24478ec001b9
aws.smithy.kotlin	aws-signing-common-jvm	0.14.0		f76782636badef3ded99a32082ad5666c5e49a4b
aws.smithy.kotlin	aws-signing-common-jvm	0.14.1		becb250469c6a5c906ad260d5deafc342f366456
aws.smithy.kotlin	aws-signing-common-jvm	0.14.2		867d2566727aed062baa11b1802db840af48ce57
aws.smithy.kotlin	aws-signing-common-jvm	0.14.3		47fc9b9f1c99b73d20fb164195b745ab9f83166c
aws.smithy.kotlin	aws-signing-common-jvm	0.15.0		84f72d3aff8b063e43c41df895a5aa11d8807dca
aws.smithy.kotlin	aws-signing-common-jvm	0.15.1		eb7a1951d7d955cd9abecfa2ace5b4d9947f6a72
aws.smithy.kotlin	aws-signing-common-jvm	0.15.2		8ac24be6173a3b5b492d098389c8e3ceac295eb3
aws.smithy.kotlin	aws-signing-common-jvm	0.15.3		5c11c3c418bab21f38f30721d37180a35c63e539
aws.smithy.kotlin	aws-signing-common-jvm	0.16.0		cc2a72395b645c6fab8bd65bfce03f1193507bdb
