com.eygraber	compose-placeholder-material3-android-debug	1.0.4		N/A
com.eygraber	compose-placeholder-material3-android-debug	1.0.5		N/A
com.eygraber	compose-placeholder-material3-android-debug	1.0.6		N/A
com.eygraber	compose-placeholder-material3-android-debug	1.0.7		N/A
com.foreach.cwb	cwb-core	1.1.0.RELEASE		25abe02e5e2dcab25471b241058ec06abeb4e68a
com.github.finagle	finchx-json-test_2.13	0.32.0		db6a108918a739e2e7c0a1c9661a39c47aab7aa1
com.github.finagle	finchx-json-test_2.13	0.32.1		200d4ea45be991068c4d6f1962d2bc50902c5e7c
com.github.finagle	finchx-json-test_2.13	0.33.0		bffce961616002077273eb3d4120eb41522529f6
com.github.geningxiang	javadoc-core	1.1.1		24ef2ec4c7bb9877812c7b238025713169f3e048
com.github.geningxiang	javadoc-core	1.1.1-SNAPSHOTS		c012b03f3e9ee0165bfd18befeedbd32206f805e
com.github.geningxiang	javadoc-core	1.1.2		fa41587c5fedfa24b41e2e80aeaf384f27ad5dad
com.github.geningxiang	javadoc-core	1.1.2-snapshots		6879a5f53a0ba26763b76d38230dd04d8f6fbf33
com.github.julien-truffaut	monocle-law_2.12.0-RC2	1.3.1		6f9f2cf6b3c6deb39a8d66eef274c90560a87726
com.github.leozhang123	ddlutils	0.1		8a432ece6f2ee434ad7c94dcce98f485a44e5b60
com.github.leozhang123	ddlutils	0.1.1		37450f813d09df364469ec730df056534def3391
com.github.molecule-labs	molecule-net_2.10	0.5.2		20ed98bdf31d2c102eda9fbcaa22f5462b0006c5
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.0		6fa8dc01a43bc94ae1c75545e3c8558ddcd8ae00
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.0-RELEASE		a0bf7d3866f7e61e4f2b8079cb989b1c23a3b103
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.1.RELEASE		4216a68e72cba7553409919987a04d3db0623360
com.github.mthizo247	spring-cloud-netflix-zuul-websocket	1.0.2.RELEASE		1d815b25741fa5ff7b94656a76c25547f89d18e2
