br.com.objectos.finos	cvm-cia	0.1.0		3ad60b83e67beb2d1fa9a7d6f6ad6c120c3c2920
ca.carleton.gcrc	nunaliit2-auth-http	0.0.2		845793df73e0276d75df332ad3eaf66da4d940b8
ca.carleton.gcrc	nunaliit2-auth-http	0.0.3		96dbe40c135429986834cbf971007e3b7130fbd9
ca.carleton.gcrc	nunaliit2-auth-http	0.0.4		da85181f89431e11337342ab2b7a6c0c1cf1eb3e
ca.carleton.gcrc	nunaliit2-auth-http	0.0.5		e4022c68427117e9ee8a3dd5c645d11775e86d02
ca.carleton.gcrc	nunaliit2-auth-http	0.0.6		85929dd23b21bf12865e8cfcae593e6b65309057
ca.carleton.gcrc	nunaliit2-auth-http	0.1.0		9b8f6e0ccb6e4fcd931e2b76dd458ece5aaeb48b
ca.carleton.gcrc	nunaliit2-auth-http	0.1.1		a465cf7f4c783eed0ccf0d7e01c5462e528b51d1
ca.carleton.gcrc	nunaliit2-auth-http	0.1.2		3f98b56bceb7e4e621d65c52a3b49673779f765e
ca.carleton.gcrc	nunaliit2-auth-http	0.1.3		8273549620c14f212507523525d5173dfd49f516
ca.carleton.gcrc	nunaliit2-auth-http	0.1.4		2b626016ce806b2df0a9ccf55c3900276344c8cb
ca.carleton.gcrc	nunaliit2-auth-http	0.1.5		49a4022cabf5fa99ff57a238d054e9bc0cb3209a
ca.carleton.gcrc	nunaliit2-auth-http	0.1.6		03d5e730a47af6312ab649e788ef93d5678e7e6b
ca.carleton.gcrc	nunaliit2-auth-http	0.1.7		555c0850b2359cc828e3fd40046a0111299952f8
ca.carleton.gcrc	nunaliit2-auth-http	0.1.8		816eb2c0ad0321bc4f785698dcabc51f147b28c0
ca.carleton.gcrc	nunaliit2-auth-http	0.1.8.1		e1969e350b7aa3955c61a88745fc51b0cd96ed3b
ca.carleton.gcrc	nunaliit2-auth-http	0.1.9		9dc7658a6013bcd67b70a4f988786ef9ac40b060
ca.carleton.gcrc	nunaliit2-auth-http	0.2.0		7e4905ebec8514c7b0802795309e50c4a0349a6d
ca.carleton.gcrc	nunaliit2-auth-http	0.2.1		9992d4e24beb2d4bf22c61c716ef528d3cb407ae
ca.carleton.gcrc	nunaliit2-auth-http	2.0.0		b668dcfd2801816c5c2fd0599c2a3ed9b872d4a4
ca.carleton.gcrc	nunaliit2-auth-http	2.0.1		91cc8d086f17b1593db91dca61365de7df7f21a3
ca.carleton.gcrc	nunaliit2-auth-http	2.0.2		26fc9dcc0560723b89c6c5a35b56e2ec2b81cada
ca.carleton.gcrc	nunaliit2-auth-http	2.0.3		b364775663705752fd9c59728bab48f2149e0eb1
