ai.preferred	csvpl	1.0		88d15152f9fe75f8b5ad485d377b0f30bec387cc
app.softwork	kotlinx-serialization-csv-androidnativearm32	0.0.18		N/A
app.softwork	kotlinx-serialization-csv-androidnativearm32	0.0.19		N/A
app.softwork	kotlinx-serialization-csv-androidnativearm32	0.0.20		N/A
be.jatra	materialtwostagerating	1.0.0		N/A
be.jatra	materialtwostagerating	1.0.1		N/A
be.jatra	materialtwostagerating	1.0.2		N/A
cloud.keveri.dev	keveri-gateway-plugin-param	1.0		a3e2967da6ee13ec9b07ed5c9e73962001fc478e
cn.wustlinghang.mywust	mywust-util	0.0.2-beta		cec2c93fb73855e12dec59e09ca389cddfb93ecb
cn.wustlinghang.mywust	mywust-util	0.0.3-alpha		2d42623851bc2e7441d59d1170d72fef84c1106f
cn.wustlinghang.mywust	mywust-util	0.0.4-alpha		cfef3e267516c3dcab054e1cd541e04ba244d572
com.aallam.openai	openai-core-watchosx64	2.1.1		N/A
com.aallam.openai	openai-core-watchosx64	2.1.1	metadata	dd452da70bc83d51f70d17143f5ce7f92cb40d0d
com.aallam.openai	openai-core-watchosx64	2.1.2		N/A
com.aallam.openai	openai-core-watchosx64	2.1.2	metadata	dd452da70bc83d51f70d17143f5ce7f92cb40d0d
com.aallam.openai	openai-core-watchosx64	2.1.3		N/A
com.aallam.openai	openai-core-watchosx64	2.1.3	metadata	ba5b9d6acf4529e1f9d9babc7f7b4549220fc484
com.aallam.openai	openai-core-watchosx64	3.0.0		N/A
com.aallam.openai	openai-core-watchosx64	3.0.0	metadata	67eb40059f270fb1a8418a346d223a41794e5619
com.aallam.openai	openai-core-watchosx64	3.0.0-alpha01		N/A
com.aallam.openai	openai-core-watchosx64	3.0.0-alpha01	metadata	dd452da70bc83d51f70d17143f5ce7f92cb40d0d
com.aallam.openai	openai-core-watchosx64	3.0.0-beta01		N/A
com.aallam.openai	openai-core-watchosx64	3.0.0-beta01	metadata	ba5b9d6acf4529e1f9d9babc7f7b4549220fc484
com.aallam.openai	openai-core-watchosx64	3.0.0-beta02		N/A
com.aallam.openai	openai-core-watchosx64	3.0.0-beta02	metadata	67eb40059f270fb1a8418a346d223a41794e5619
com.aallam.openai	openai-core-watchosx64	3.1.0		N/A
com.aallam.openai	openai-core-watchosx64	3.1.0	metadata	67eb40059f270fb1a8418a346d223a41794e5619
com.aallam.openai	openai-core-watchosx64	3.1.1		N/A
com.aallam.openai	openai-core-watchosx64	3.1.1	metadata	67eb40059f270fb1a8418a346d223a41794e5619
com.aallam.openai	openai-core-watchosx64	3.2.0		N/A
com.aallam.openai	openai-core-watchosx64	3.2.0	metadata	67eb40059f270fb1a8418a346d223a41794e5619
com.aallam.openai	openai-core-watchosx64	3.2.1		N/A
com.aallam.openai	openai-core-watchosx64	3.2.1	metadata	6968c98ff6a11f8e0d7171edb3fb37f8d5623c99
com.aallam.openai	openai-core-watchosx64	3.2.2		N/A
com.aallam.openai	openai-core-watchosx64	3.2.2	metadata	f9a30f230575a281a8ca1fd10575aab86ca9f105
com.aallam.openai	openai-core-watchosx64	3.2.3		N/A
com.aallam.openai	openai-core-watchosx64	3.2.3	metadata	f9a30f230575a281a8ca1fd10575aab86ca9f105
com.aallam.openai	openai-core-watchosx64	3.2.4		N/A
com.aallam.openai	openai-core-watchosx64	3.2.4	metadata	9e145e0c792535d34566ddd4804f3dd8e571add7
com.aallam.openai	openai-core-watchosx64	3.2.5		N/A
com.aallam.openai	openai-core-watchosx64	3.2.5	metadata	b77a85a8d04d27a2d79c0e6b42cec36c371dfce5
com.aallam.openai	openai-core-watchosx64	3.3.0		N/A
com.aallam.openai	openai-core-watchosx64	3.3.0	metadata	c1d4ea169d933adf87fe73985eaf3d3df20acd78
com.aallam.openai	openai-core-watchosx64	3.3.1		N/A
com.aallam.openai	openai-core-watchosx64	3.3.1	metadata	f52192229fc3796e671a7185aa132dec66ecc92f
com.aallam.openai	openai-core-watchosx64	3.3.2		N/A
com.aallam.openai	openai-core-watchosx64	3.3.2	metadata	76a867c1d20f17a995d2180125801cee08dc7d08
com.aallam.openai	openai-core-watchosx64	3.4.0		N/A
com.aallam.openai	openai-core-watchosx64	3.4.0	metadata	fb5c59e65037d89ce67685206e5b34172b467ef5
com.aallam.openai	openai-core-watchosx64	3.4.1		N/A
com.aallam.openai	openai-core-watchosx64	3.4.1	metadata	5979b1d72153ce186f2616f351b80d94b92db129
com.aallam.openai	openai-core-watchosx64	3.4.2		N/A
com.aallam.openai	openai-core-watchosx64	3.4.2	metadata	ed68095ad20aa6e61091ea85b8ed74b3420fe5e6
com.aallam.openai	openai-core-watchosx64	3.5.0		N/A
com.aallam.openai	openai-core-watchosx64	3.5.0	metadata	95e1fff7dc7ae6c31d6e1f8e93a2a6cecbdce43b
com.aallam.openai	openai-core-watchosx64	3.5.1		N/A
com.aallam.openai	openai-core-watchosx64	3.5.1	metadata	2b1eb4a93b400e9a5d780daa7db46c5af6e7a11e
com.aallam.openai	openai-core-watchosx64	3.6.0		N/A
com.aallam.openai	openai-core-watchosx64	3.6.0	metadata	95d7a14e268d89d99979871355db9c1baeb092f7
com.aallam.openai	openai-core-watchosx64	3.6.1		N/A
com.aallam.openai	openai-core-watchosx64	3.6.1	metadata	0647b2e0f2471898229bb4a01c0ff94429c225fd
com.aallam.openai	openai-core-watchosx64	3.6.2		N/A
com.aallam.openai	openai-core-watchosx64	3.6.2	metadata	f330dbeeb018756be99951b685d295d199bab614
com.aallam.openai	openai-core-watchosx64	3.6.3		N/A
com.aallam.openai	openai-core-watchosx64	3.6.3	metadata	0288c71e1d31bcfc61c12441d5249e8ad886e006
com.aallam.openai	openai-core-watchosx64	3.7.0		N/A
com.aallam.openai	openai-core-watchosx64	3.7.0	metadata	52b9581d73f15d4a2894afa971a2f67338df5e6a
com.aallam.openai	openai-core-watchosx64	3.7.1		N/A
com.aallam.openai	openai-core-watchosx64	3.7.1	metadata	6bd7f3ae8cbf9ae4d3f41fa5c6a4b40ea756c27b
com.aallam.openai	openai-core-watchosx64	3.7.2		N/A
com.aallam.openai	openai-core-watchosx64	3.7.2	metadata	a930ff47073fd4f3d1d74df2eaa4299d95a2e379
com.aallam.openai	openai-core-watchosx64	3.8.0		N/A
com.aallam.openai	openai-core-watchosx64	3.8.0	metadata	15bc101d46df5941cc93e622c2837d0f2cdae05c
com.aallam.openai	openai-core-watchosx64	3.8.1		N/A
com.aallam.openai	openai-core-watchosx64	3.8.1	metadata	02ee452841c1dbf93bae6232cde2a3b0e8c15e93
com.aallam.openai	openai-core-watchosx64	3.8.2		N/A
com.aallam.openai	openai-core-watchosx64	3.8.2	metadata	b8d4d4da7a5bdc9df982a5514d6d1c6925bcbab9
com.aallam.openai	openai-core-watchosx64	4.0.0		N/A
com.aallam.openai	openai-core-watchosx64	4.0.0	metadata	c9d76452ce5aeddc9841db7d1c9e572df4688b03
com.aallam.openai	openai-core-watchosx64	4.0.0-beta01		N/A
com.aallam.openai	openai-core-watchosx64	4.0.0-beta01	metadata	57b98a33184100c5b3d10f001a7d1d052a3f11ec
com.aallam.openai	openai-core-watchosx64	4.0.1		N/A
com.aallam.openai	openai-core-watchosx64	4.0.1	metadata	af007ccb01652fbe4f1908198e220f1ee3739061
com.adidas.mvi	mvi-compose-tvossimulatorarm64	0.1.0		N/A
com.adidas.mvi	mvi-compose-tvossimulatorarm64	0.1.0	metadata	57545dee1a91ae8669da54d824812e74d666240c
com.alibaba.fescar	fescar-rm	0.4.0		1a65f0098a73dd05a8b91f81ae5249077f85d962
com.alibaba.fescar	fescar-rm	0.4.1		c36cbe721f6020692f17914852a04569a45a3843
com.alibaba.fescar	fescar-rm	0.4.2		f1eef14e9e06bd9560efea12cd9fdd60c22d09e5
com.anaptecs.jeaf.owalibs	org.apache.commons.cli	4.3.1		6e9c22a098f5854a0d9c5dbc61408640f2e8609b
com.bidyut.tech.seahorse	core-jvm	0.7.0		d2d8f890463db67758d6deb64aace3a24c0e8fce
com.composum.sling.platform	composum-sling-platform-security-bundle	1.0.0		7da835be92aa235cc9e2b23311bff8b88e8ea643
com.composum.sling.platform	composum-sling-platform-security-bundle	1.0.1		ac92255df1b4240895d88865efeeeaafbad25f0b
com.gitee.zodiacstack	zodiac-sentinel-file	1.5.16		53fcaa0756b14bf282f1f03c31ca8ef707ac697d
com.gitee.zodiacstack	zodiac-sentinel-file	1.5.17		e46164facc50a53d068234ae3bf4833b7f1b38f6
com.gitee.zodiacstack	zodiac-sentinel-file	1.5.18		3bb56027dc5707471f6a1229c69f1933a91f6acc
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.0		ea949458920048995f492eccbdecb7a6e7e9715b
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.1		5ab916c9f9c4cf21017f7e92ed5c9df0b626908e
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.2		83bfe340f201e66a7221cb902caf6b9b8f5195be
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.3		c43a52383e22a41ce10e4b91b905ba72611fd457
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.4		087402eb60dc223b8e2f9ee5eba3bf8dddeeb134
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.5		861cba0951f434c6cf18137e0ac302c9a3833c32
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.6		1d4b650d815bc364e7965d7553469a8cd8cbdcba
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.7		84693596f7643d114bdc32ec9fa7bcdcc78d807f
com.gitee.zodiacstack	zodiac-sentinel-file	1.6.8		43a46925bce09746bc03447cff9ebc6fa39a9b24
com.gitee.zodiacstack	zodiac-sentinel-file	1.7.0		372a0a0ff5e924dc3e450b4b7b4ba8d804fa7d32
com.gitee.zodiacstack	zodiac-sentinel-file	1.7.1		b05d41f7b2da0b839d5a299a66ad88ac2f326635
com.github.johnkil.print	print	1.0.0		N/A
com.github.johnkil.print	print	1.1.0		N/A
com.github.johnkil.print	print	1.2.0		N/A
com.github.johnkil.print	print	1.2.1		N/A
com.github.johnkil.print	print	1.2.2		N/A
com.github.johnkil.print	print	1.2.3		N/A
com.github.johnkil.print	print	1.3.0		N/A
com.github.johnkil.print	print	1.3.1		N/A
com.github.plokhotnyuk.fsi	fsi-macros_2.13	0.6.0		b2f7cebdadf52e834dfd267718993c718cab1904
com.github.plokhotnyuk.fsi	fsi-macros_2.13	0.6.1		5403d091a0e0d7a583a377f43975640839eb6a48
com.github.plokhotnyuk.fsi	fsi-macros_2.13	0.6.2		62fe0ab88d6b958c5fcbd6f8b65398eea669b084
com.github.plokhotnyuk.fsi	fsi-macros_2.13	0.6.3		7bc1d7b9e0b4df996251b0fc9d2fe60143569c02
com.github.tommyettinger	tantrum-juniper	0.5.0.0		898a786551b73bed1843d8d432e58ce809991f54
com.github.tommyettinger	tantrum-juniper	0.6.0.0		c5dd42d305ffbd2c4fb30c3eb03d3a3fdf299240
com.github.vaibhav-sinha	kong-java-client	0.1.0		ce3e4e8fef0fba4f509cc60df7ea7da53779d43e
com.github.vaibhav-sinha	kong-java-client	0.2.0		0b69b3170895d698081403a0f9289f203fb0b06f
com.imageworks.scala-migrations	scala-migrations_2.8.2	1.0.3		c2d51aec4fbe1f2956413563348da4164d54b52e
com.immomo.cosmos	cvcenter	"""2.1.2.20210813.1924"""		N/A
com.immomo.cosmos	cvcenter	2.1.2.20210309.1950		N/A
com.immomo.cosmos	cvcenter	2.1.2.20210427.1724		N/A
com.immomo.cosmos	cvcenter	2.1.2.20210429.1612		N/A
com.immomo.cosmos	cvcenter	2.1.2.20210813.1924		N/A
com.immomo.cosmos	cvcenter	2.1.2.20220901.1416		N/A
com.immomo.cosmos	cvcenter	2.1.2.20220901.1537		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210713.2057		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210714.2057		N/A
com.immomo.cosmos	cvcenter	2.1.3.20210825.1207		N/A
