br.com.devsrsouza.compose.icons	line-awesome-wasm-js	1.1.1		N/A
com.anbillon.routine	routine	1.0.0		N/A
com.anbillon.routine	routine	1.1.0		N/A
com.anbillon.routine	routine	1.1.1		N/A
com.avast	scala-server-toolkit-pureconfig_2.12	0.1.3		76adcece4de8fbab4436191fbfca17191ed1e107
com.azure.resourcemanager	azure-resourcemanager-securitydevops	1.0.0-beta.1		e70bc2f28bac2627754afa14a3743b6374a9314e
com.cookpad.puree	puree-iossimulatorarm64	0.0.1		N/A
com.cookpad.puree	puree-iossimulatorarm64	0.0.1	metadata	50f5bd1c1032ee4fd3f813a885992e2e2539458c
com.demonwav.hypo	hypo-asm-hydrate	1.0.0		c71449445fdd5ecaf878808a59a2fc548aa263d0
com.github.gumtreediff	gen.sax	2.0.0		1647a5b1efdd32b5f36d76c166b7706e9122eed1
com.github.jenshaase.uimascala	stanfordpostagger_2.11	0.6.1		6218d93449e98051ceec4c3a31509a62f437645c
com.github.nalivajr	anuta	1.0.0-beta		N/A
com.github.nalivajr	anuta	1.0.1-beta		N/A
com.github.secondbase	webconsole	0.1.0		455e8e477bd92fdc49a1d3a2a1b83d68f2c39490
com.github.secondbase	webconsole	0.1.1		d8033e259a66d64f0cbc7274e052141e593f20b4
com.github.secondbase	webconsole	0.1.2		ce514f2ef8b3c1f58943b097c33fb4da2e9c0229
com.github.stephengold	HeartLibrary	6.4.1		6c1e49192d34dd8c1a562d9090bb4e86ac4b8dc5
com.github.viclovsky	swagger-coverage-rest-assured	1.4.1		8240e32635d76f885a9411b70953b6a217cbf509
com.github.viclovsky	swagger-coverage-rest-assured	1.4.3		0e5ec5c9369f878af57a5fb8d3642dc52d0f0062
com.github.viclovsky	swagger-coverage-rest-assured	1.4.4		1ce7682be08255ed792a6ba9d852cf984f90abb6
com.github.viclovsky	swagger-coverage-rest-assured	1.4.5		5258514afd54fefe5d055a6fb0f577c53d405c3a
com.github.viclovsky	swagger-coverage-rest-assured	1.5.0		168be4f24916471dfdd879ba75ccf9d869c479b7
com.gitlab.cdc-java.bench	cdc-bench-support	0.1.0		43f9b4e393d71b078c7eb7f40a7f6ac73a014918
com.gitlab.cdc-java.bench	cdc-bench-support	0.2.0		ceb8dab076b693610f65e61280d975c1045211db
com.gitlab.cdc-java.bench	cdc-bench-support	0.2.1		86a8905c83baff5e1b32f9fcc813059443227e90
com.gitlab.cdc-java.bench	cdc-bench-support	0.2.2		0e0d65c9f4562b2f80f8f3a985a155d521cf4923
com.gitlab.cdc-java.bench	cdc-bench-support	0.2.3		c6db2e85cfbace0ea74060ea42bd4cdd4db7fed0
com.google.guava	guava	10.0		4e65a01f856672857bf8c9ab47de11384d7cc4fa
com.google.guava	guava	10.0	site	c2dcdce88328a6d4e04df4671ee1759046435499
com.google.guava	guava	10.0-rc1		7140715f0c55519e494057837a704d76eb3f4e5e
com.google.guava	guava	10.0-rc1	site	5a03a3a3e38b906ec388ed34a9150dbafb09c582
com.google.guava	guava	10.0-rc2		722721a1837a94033d3166f0e04bac2a0881736d
com.google.guava	guava	10.0-rc2	site	5b2cd88cebf0973713742699eb23074666328978
com.google.guava	guava	10.0-rc3		3a8eb766a5a79e9193bf22754e81c8a248368eb9
com.google.guava	guava	10.0-rc3	site	fd7e48c62bf891e093929bd15a532e55e56769f4
com.google.guava	guava	10.0.1		292c96f9cb18231528cac4b0bf17d28149d14809
com.google.guava	guava	10.0.1	site	19f0463ef2e71bb55e831a7fae4781d70045dc49
com.google.guava	guava	11.0		f8ebb252d9ce7ff71b68b494551711242b2118d6
com.google.guava	guava	11.0	site	734976524cf803abca767ebf08d6e4b9943f2304
com.google.guava	guava	11.0-rc1		4684cca60385ecad23bb194fa5c452f70b1d4360
com.google.guava	guava	11.0-rc1	site	eeb0fcd6708fcc2ef87ed0ee6cec1f9cc55909c6
com.google.guava	guava	11.0.1		57b40a943725d43610c898ac0169adf1b2d55742
com.google.guava	guava	11.0.1	site	653eee6f280213cdd31e76ed22a832fb14c2f304
com.google.guava	guava	11.0.2		35a3c69e19d72743cac83778aecbee68680f63eb
com.google.guava	guava	11.0.2	site	c4e0f6d2650ecd791be46821abe364a4418def74
com.google.guava	guava	12.0		5bc66dd95b79db1e437eb08adba124a3e4088dc0
com.google.guava	guava	12.0	site	2fc5e189ecfa4e68cfb0f5c9df3e548fdbf00eea
com.google.guava	guava	12.0-rc1		25d0456946b830fea7b416ad4481caf7074d4cf9
com.google.guava	guava	12.0-rc1	site	c91ab88ea6986df122f72b22a68c74ebb9fd01c1
com.google.guava	guava	12.0-rc2		9fb5420c3b226e8006d2f92bebb2f6a13ba13e5f
com.google.guava	guava	12.0-rc2	site	d9b73e0393612849ab88886d05afeccd3bb28e31
com.google.guava	guava	12.0.1		b8e78b9af7bf45900e14c6f958486b6ca682195f
com.google.guava	guava	13.0		d6f92000cabd7bf4418789497e396b9c56820ef1
com.google.guava	guava	13.0	site	d60192ea2d0fb9eb8b8af74d7400525a97fac115
com.google.guava	guava	13.0-rc1		15fe8e69194e1a042dec1027c80b3ca55eb60165
com.google.guava	guava	13.0-rc1	site	c34c26738ff4e2242f91308a278cc3ac2a6234f7
com.google.guava	guava	13.0-rc2		f683e4217a442990ac60c7a5bb086c3af5857844
com.google.guava	guava	13.0-rc2	site	a2738223d57b62e53e9a079f5e7b2c753199d077
com.google.guava	guava	13.0.1		0d6f22b1e60a2f1ef99e22c9f5fde270b2088365
com.google.guava	guava	13.0.1	site	f6b3f216f5b69c31f6a17470750230a714f63541
com.google.guava	guava	14.0		67b7be4ee7ba48e4828a42d6d5069761186d4a53
com.google.guava	guava	14.0	site	6dc3ccc306b8b5b231a58a920646b9255b8e3d79
com.google.guava	guava	14.0-rc1		eba2bde068a2783f73530ee71cb85927b61bacd3
com.google.guava	guava	14.0-rc1	site	3c1f36d806890060e241e307a1786951c454bef6
com.google.guava	guava	14.0-rc2		d10725fe1d3a891ca18293d9d8b2476bb99dbc59
com.google.guava	guava	14.0-rc2	site	f3c1a1b0c2f08158d9d578f13009f813880e6d1f
com.google.guava	guava	14.0-rc3		931ae21fa8014c3ce686aaa621eae565fefb1a6a
com.google.guava	guava	14.0-rc3	site	14e19daa95cef3a389b284389dc7d2290a48a822
com.google.guava	guava	14.0.1		69e12f4c6aeac392555f1ea86fab82b5e5e31ad4
com.google.guava	guava	14.0.1	site	e27705d6bdce0ba498df51c32050fea9bb7fb3a0
com.google.guava	guava	15.0		ed727a8d9f247e2050281cb083f1c77b09dcb5cd
com.google.guava	guava	15.0	cdi1.0	4e8edddcf60636ed1e11c9babb19da8f098c789e
com.google.guava	guava	15.0	site	93cb89432fb7e17b334bc02fad9cba51785a7287
com.google.guava	guava	15.0-rc1		e22ec7d9349f9dc12bec6f1b9792c8e9604e92aa
com.google.guava	guava	15.0-rc1	site	317b68ac760848802ef56511e4ac4b4b4881b5e2
com.google.guava	guava	16.0		aca09d2e5e8416bf91550e72281958e35460be52
com.google.guava	guava	16.0	site	7313f98d0244f7012e448c7545745e85556ea6ed
com.google.guava	guava	16.0-rc1		95a9c1f10123c86f73c4cabc673dc2dac93343e9
com.google.guava	guava	16.0-rc1	site	c426e2c6de7b98d9fbc6f4f9330fd34e2cb8a3cb
com.google.guava	guava	16.0.1		5fa98cd1a63c99a44dd8d3b77e4762b066a5d0c5
com.google.guava	guava	16.0.1	site	980981ebded1096d1dbaf17fd031c49225a14ac5
com.google.guava	guava	17.0		9c6ef172e8de35fd8d4d8783e4821e57cdef7445
com.google.guava	guava	17.0	site	9843e8e00d4ed98008f3d5dcaaf7e306b2210473
com.google.guava	guava	17.0-rc1		6e76098082eff853ac6048c32c2bf8da403bca67
com.google.guava	guava	17.0-rc1	site	7db1ec454afc436239672df8a79324003ceb991e
com.google.guava	guava	17.0-rc2		c10a2094eeb265322570c01baff3eff9135d1f1a
com.google.guava	guava	17.0-rc2	site	e92be125e6a35a81dc6b057f4f465508151ffbbb
com.google.guava	guava	18.0		cce0823396aa693798f8882e64213b1772032b09
com.google.guava	guava	18.0	site	b701f40e031968a2a4f103e0dd94c1f6b0bc9f5a
com.google.guava	guava	18.0-rc1		9bd0d5bc8a4269bb2b5584d5498e281633c677eb
com.google.guava	guava	18.0-rc1	site	4dd291b19019ab04c1b51388adf8d74e52e7b02c
com.google.guava	guava	18.0-rc2		2573ad4483b3012f63ad1573b8504067ac668e84
com.google.guava	guava	18.0-rc2	site	ac9eab24450200b98dba676913fb1e5eca405fbb
com.google.guava	guava	19.0		6ce200f6b23222af3d8abb6b6459e6c44f4bb0e9
com.google.guava	guava	19.0-rc1		0364538ac107b8943a1f4d68ac50f1b0421bb983
com.google.guava	guava	19.0-rc1	site	039a6014cbf59d87c80b677333fab5628a361b3b
com.google.guava	guava	19.0-rc2		93e17f60bc524c2610b41c494bb829c11ca89436
com.google.guava	guava	19.0-rc2	site	780fc91e7ceb89d77f74ccb1a65af789b6d98c07
com.google.guava	guava	19.0-rc3		ffe5638f514e43ffb71163bbd453b1f9cc218426
com.google.guava	guava	20.0		89507701249388e1ed5ddcf8c41f4ce1be7831ef
com.google.guava	guava	20.0-rc1		4c2a4581b69b16a57968da32fcadb8e362b639b2
com.google.guava	guava	21.0		3a3d111be1be1b745edfa7d91678a12d7ed38709
com.google.guava	guava	21.0-rc1		ea4681eb116c7335370adaad583010e0681cc53b
com.google.guava	guava	21.0-rc2		a464c8132fdd56801e42647b9023cd37426dc606
com.google.guava	guava	22.0		3564ef3803de51fb0530a8377ec6100b33b0d073
com.google.guava	guava	22.0-android		7b2fc7ef242f35bc2c9a3b816ed846c9345e3f95
com.google.guava	guava	22.0-rc1		492dc26fc1bf1984971f24a284adb61896eed156
com.google.guava	guava	22.0-rc1-android		80d57e7cf905ac29246f59f398fe22ad3386a758
com.google.guava	guava	23.0		c947004bb13d18182be60077ade044099e4f26f1
com.google.guava	guava	23.0-android		024e15a141252eb80c53381d78ef61efd1353763
com.google.guava	guava	23.0-rc1		22c9de8424aaefed3687f17a576cfee925338d7c
com.google.guava	guava	23.0-rc1-android		b5b3e3a4a14f000d48ebed67e6715446643b12b1
com.google.guava	guava	23.1-android		cf57468dd1502b62946b00b62d458295d8e89b1a
com.google.guava	guava	23.1-jre		23ed5a005f9289062224ddbe0d398e732c5efc36
com.google.guava	guava	23.2-android		769da367a0c58a23afe14a559f08bacc41c9905f
com.google.guava	guava	23.2-jre		a1a3e54263d357d2ecadcb3f5e7eb6464c66fe93
com.google.guava	guava	23.3-android		7340373546b8eb380787e7bd1dad25bea53d4b6e
com.google.guava	guava	23.3-jre		9124c2675a9de3ba953f66d62339cf62f8e1a143
com.google.guava	guava	23.4-android		6b52ce80a01cdd1bda08d81d2e4035e5399ee903
com.google.guava	guava	23.4-jre		dfed5a4d90eb13e47b62ccf735cdce87c9c4e522
com.google.guava	guava	23.5-android		4d11fefa7af9a26f4ad0071c2939537755224cba
com.google.guava	guava	23.5-jre		e9ce4989adf6092a3dab6152860e93d989e8cf88
com.google.guava	guava	23.6-android		13f7bbf4f1b95dbec11df43200bfdb913ccd4072
com.google.guava	guava	23.6-jre		c0b638df79e7b2e1ed98f8d68ac62538a715ab1d
com.google.guava	guava	23.6.1-android		e5a91a2b3581e4814cc9a53e0bca695ea6a40d2b
com.google.guava	guava	23.6.1-jre		c18ab06b4b7646be581211ad59be1b6e1ea4c278
com.google.guava	guava	24.0-android		bfc941bd9285e7534ebde47236f14e5c7396a90c
com.google.guava	guava	24.0-jre		041ac1e74d6b4e1ea1f027139cffeb536c732a81
com.google.guava	guava	24.1-android		0347a4cfc35ab0cfaf67f79a3b1c85aca96af42a
com.google.guava	guava	24.1-jre		96c528475465aeb22cce60605d230a7e67cebd7b
com.google.guava	guava	24.1.1-android		e806df025169cdef2b724428836fc2c8c8c65951
com.google.guava	guava	24.1.1-jre		2e3014320a8005e3f3c1800cb246ed42db8cab81
com.google.guava	guava	25.0-android		83736fdb6a39f992a40e7c2fe6193024bafb12a0
com.google.guava	guava	25.0-jre		7319c34fa5866a85b6bad445adad69d402323129
com.google.guava	guava	25.1-android		bdaab946ca5ad20253502d873ba0c3313d141036
com.google.guava	guava	25.1-jre		6c57e4b22b44e89e548b5c9f70f0c45fe10fb0b4
com.google.guava	guava	26.0-android		ef69663836b339db335fde0df06fb3cd84e3742b
com.google.guava	guava	26.0-jre		6a806eff209f36f635f943e16d97491f00f6bfab
com.google.guava	guava	27.0-android		d0aeb8cc267a80b2908ccdd5dc18e3c14cb2b155
com.google.guava	guava	27.0-jre		c6ad87d2575af8ac8ec38e28e75aefa882cc3a1f
com.google.guava	guava	27.0.1-android		b7e1c37f66ef193796ccd7ea6e80c2b05426182d
com.google.guava	guava	27.0.1-jre		bd41a290787b5301e63929676d792c507bbc00ae
com.google.guava	guava	27.1-android		a80ef47421d6607e749f8b7282dd7dee61adfea7
com.google.guava	guava	27.1-jre		e47b59c893079b87743cdcfb6f17ca95c08c592c
com.google.guava	guava	28.0-android		3679f8e9a5e0544c361a3225a3e7bbd5febe5f29
com.google.guava	guava	28.0-jre		54fed371b4b8a8cce1e94a9abd9620982d3aa54b
com.google.guava	guava	28.1-android		c2526f8fad32a65a6d7032dd8e9524eb276b108b
com.google.guava	guava	28.1-jre		b0e91dcb6a44ffb6221b5027e12a5cb34b841145
com.google.guava	guava	28.2-android		e11db6e27f5d1ec19826848a865c496c798398fa
com.google.guava	guava	28.2-jre		8ec9ed76528425762174f0011ce8f74ad845b756
com.google.guava	guava	29.0-android		a51b7d9cbfcce79a88c961907c1767c6de201f31
com.google.guava	guava	29.0-jre		801142b4c3d0f0770dd29abea50906cacfddd447
com.google.guava	guava	30.0-android		12aff8dd7211f090c35e4c51a4256f1d5569c2e7
com.google.guava	guava	30.0-jre		8ddbc8769f73309fe09b54c5951163f10b0d89fa
com.google.guava	guava	30.1-android		1e904cca24cdf3dc84d5fe4f73e12f1186e04380
com.google.guava	guava	30.1-jre		00d0c3ce2311c9e36e73228da25a6e99b2ab826f
com.google.guava	guava	30.1.1-android		5963ed171d561cca6f14659f3439b46a1633ab13
com.google.guava	guava	30.1.1-jre		87e0fd1df874ea3cbe577702fe6f17068b790fd8
com.google.guava	guava	31.0-android		7f353d9837f0cfbfa0993d3eab69ac79e6df1348
com.google.guava	guava	31.0-jre		5ce63e26483f62c44216ff36ebd0d571347a6c58
com.google.guava	guava	31.0.1-android		b400db548e748a1a60ba18543ad4fbb44a675a69
com.google.guava	guava	31.0.1-jre		119ea2b2bc205b138974d351777b20f02b92704b
com.google.guava	guava	31.1-android		9222c47cc3ae890f07f7c961bbb3cb69050fe4aa
com.google.guava	guava	31.1-jre		60458f877d055d0c9114d9e1a2efb737b4bc282c
com.google.guava	guava	32.0.0-android		33e32530743192664d79543a4f40576930d23d45
com.google.guava	guava	32.0.0-jre		25d6662e20fc04c7b38f8ca3ab5d2f4a19272f80
com.google.guava	guava	32.0.1-android		d3fe54a75aeaca33fc562a2a9c1dc181e54cc5e9
