au.com.dius	pact-provider-jvm_2.10	1.0		9a90e289bdd4826975724335663b61e99c4089bd
ca.grimoire.jnoise	jnoise-examples	1.3.0		6e7892986b9dfc2da5a37359fe4704ff63de4d73
cn.dynamictp	dynamic-tp-spring-boot-starter-adapter-tars	1.1.0		605f7d176d5c00d102c6b1f12cb5808646cfd0fa
cn.dynamictp	dynamic-tp-spring-boot-starter-adapter-tars	1.1.1		343299d4a62134c346f2f3274a632aea65face11
cn.dynamictp	dynamic-tp-spring-boot-starter-adapter-tars	1.1.1-beta		c39b064f921cc0f25fcf0ee19c6550fb33a82e11
cn.dynamictp	dynamic-tp-spring-boot-starter-adapter-tars	1.1.2		662a71f8ef2bf856f2c4a69f8201cf23c3c748d7
com.adobe.aem	core-forms-components-reactor	0.0.10		N/A
com.adobe.aem	core-forms-components-reactor	0.0.12		N/A
com.adobe.aem	core-forms-components-reactor	0.0.14		N/A
com.adobe.aem	core-forms-components-reactor	0.0.16		N/A
com.adobe.aem	core-forms-components-reactor	0.0.18		N/A
com.adobe.aem	core-forms-components-reactor	0.0.20		N/A
com.adobe.aem	core-forms-components-reactor	0.0.22		N/A
com.adobe.aem	core-forms-components-reactor	0.0.24		N/A
com.adobe.aem	core-forms-components-reactor	0.0.6		N/A
com.adobe.aem	core-forms-components-reactor	0.0.8		N/A
com.adobe.aem	core-forms-components-reactor	1.0.0		N/A
com.adobe.aem	core-forms-components-reactor	1.0.10		N/A
com.adobe.aem	core-forms-components-reactor	1.0.12		N/A
com.adobe.aem	core-forms-components-reactor	1.0.14		N/A
com.adobe.aem	core-forms-components-reactor	1.0.16		N/A
com.adobe.aem	core-forms-components-reactor	1.0.18		N/A
com.adobe.aem	core-forms-components-reactor	1.0.2		N/A
com.adobe.aem	core-forms-components-reactor	1.0.20		N/A
com.adobe.aem	core-forms-components-reactor	1.0.24		N/A
com.adobe.aem	core-forms-components-reactor	1.0.26		N/A
com.adobe.aem	core-forms-components-reactor	1.0.28		N/A
com.adobe.aem	core-forms-components-reactor	1.0.30		N/A
com.adobe.aem	core-forms-components-reactor	1.0.34		N/A
com.adobe.aem	core-forms-components-reactor	1.0.36		N/A
com.adobe.aem	core-forms-components-reactor	1.0.38		N/A
com.adobe.aem	core-forms-components-reactor	1.0.4		N/A
com.adobe.aem	core-forms-components-reactor	1.0.4-PRERELEASE-20211223		N/A
com.adobe.aem	core-forms-components-reactor	1.0.40		N/A
com.adobe.aem	core-forms-components-reactor	1.0.42		N/A
com.adobe.aem	core-forms-components-reactor	1.0.44		N/A
com.adobe.aem	core-forms-components-reactor	1.0.46		N/A
com.adobe.aem	core-forms-components-reactor	1.0.48		N/A
com.adobe.aem	core-forms-components-reactor	1.0.50		N/A
com.adobe.aem	core-forms-components-reactor	1.0.52		N/A
com.adobe.aem	core-forms-components-reactor	1.0.54		N/A
com.adobe.aem	core-forms-components-reactor	1.0.56		N/A
com.adobe.aem	core-forms-components-reactor	1.0.6		N/A
com.adobe.aem	core-forms-components-reactor	1.0.8		N/A
com.adobe.aem	core-forms-components-reactor	1.1.12		N/A
com.adobe.aem	core-forms-components-reactor	1.1.16		N/A
com.adobe.aem	core-forms-components-reactor	1.1.18		N/A
com.adobe.aem	core-forms-components-reactor	1.1.20		N/A
com.adobe.aem	core-forms-components-reactor	1.1.22		N/A
com.adobe.aem	core-forms-components-reactor	1.1.23-cb		N/A
com.adobe.aem	core-forms-components-reactor	1.1.23-cf		N/A
com.adobe.aem	core-forms-components-reactor	1.1.24		N/A
com.adobe.aem	core-forms-components-reactor	1.1.25-rtl		N/A
com.adobe.aem	core-forms-components-reactor	1.1.25-rtl-5		N/A
com.adobe.aem	core-forms-components-reactor	1.1.26		N/A
com.adobe.aem	core-forms-components-reactor	1.1.27-wcmB004		N/A
com.adobe.aem	core-forms-components-reactor	1.1.27-wcmB008		N/A
com.adobe.aem	core-forms-components-reactor	1.1.27-wcmB014		N/A
com.adobe.aem	core-forms-components-reactor	1.1.28		N/A
com.adobe.aem	core-forms-components-reactor	1.1.30		N/A
com.adobe.aem	core-forms-components-reactor	1.1.32		N/A
com.adobe.aem	core-forms-components-reactor	1.1.34		N/A
com.adobe.aem	core-forms-components-reactor	1.1.34-eds		N/A
com.adobe.aem	core-forms-components-reactor	1.1.36		N/A
com.adobe.aem	core-forms-components-reactor	1.1.36-eds		N/A
com.adobe.aem	core-forms-components-reactor	1.1.36-edsB002		N/A
com.adobe.aem	core-forms-components-reactor	1.1.38		N/A
com.adobe.aem	core-forms-components-reactor	1.1.39-enumB004		N/A
com.adobe.aem	core-forms-components-reactor	1.1.39-enumB010		N/A
com.adobe.aem	core-forms-components-reactor	1.1.39-enumB012		N/A
com.adobe.aem	core-forms-components-reactor	1.1.40		N/A
com.adobe.aem	core-forms-components-reactor	1.1.46		N/A
com.adobe.aem	core-forms-components-reactor	1.1.48		N/A
com.adobe.aem	core-forms-components-reactor	1.1.50		N/A
com.adobe.aem	core-forms-components-reactor	1.1.52		N/A
com.adobe.aem	core-forms-components-reactor	1.1.54		N/A
com.adobe.aem	core-forms-components-reactor	1.1.55-staticDataRefB002		N/A
com.adobe.aem	core-forms-components-reactor	1.1.56		N/A
com.adobe.aem	core-forms-components-reactor	1.1.58		N/A
com.adobe.aem	core-forms-components-reactor	1.1.6		N/A
com.adobe.aem	core-forms-components-reactor	1.1.60		N/A
com.adobe.aem	core-forms-components-reactor	1.1.62		N/A
com.adobe.aem	core-forms-components-reactor	1.1.64		N/A
com.adobe.aem	core-forms-components-reactor	1.1.66		N/A
com.adobe.aem	core-forms-components-reactor	1.1.8		N/A
com.adobe.aem	core-forms-components-reactor	2.0.10		N/A
com.adobe.aem	core-forms-components-reactor	2.0.10-spa		N/A
com.adobe.aem	core-forms-components-reactor	2.0.12		N/A
com.adobe.aem	core-forms-components-reactor	2.0.14		N/A
com.adobe.aem	core-forms-components-reactor	2.0.15-cf		N/A
com.adobe.aem	core-forms-components-reactor	2.0.16		N/A
com.adobe.aem	core-forms-components-reactor	2.0.18		N/A
com.adobe.aem	core-forms-components-reactor	2.0.2		N/A
com.adobe.aem	core-forms-components-reactor	2.0.26		N/A
com.adobe.aem	core-forms-components-reactor	2.0.31-cf		N/A
com.adobe.aem	core-forms-components-reactor	2.0.32		N/A
com.adobe.aem	core-forms-components-reactor	2.0.34		N/A
com.adobe.aem	core-forms-components-reactor	2.0.36		N/A
com.adobe.aem	core-forms-components-reactor	2.0.38		N/A
com.adobe.aem	core-forms-components-reactor	2.0.4		N/A
com.adobe.aem	core-forms-components-reactor	2.0.40		N/A
com.adobe.aem	core-forms-components-reactor	2.0.42		N/A
com.adobe.aem	core-forms-components-reactor	2.0.44		N/A
com.adobe.aem	core-forms-components-reactor	2.0.46		N/A
com.adobe.aem	core-forms-components-reactor	2.0.48		N/A
com.adobe.aem	core-forms-components-reactor	2.0.49-fragment		N/A
com.adobe.aem	core-forms-components-reactor	2.0.50		N/A
com.adobe.aem	core-forms-components-reactor	2.0.52		N/A
com.adobe.aem	core-forms-components-reactor	2.0.54		N/A
com.adobe.aem	core-forms-components-reactor	2.0.56		N/A
com.adobe.aem	core-forms-components-reactor	2.0.6		N/A
com.adobe.aem	core-forms-components-reactor	2.0.60		N/A
com.adobe.aem	core-forms-components-reactor	2.0.62		N/A
com.adobe.aem	core-forms-components-reactor	2.0.64		N/A
com.adobe.aem	core-forms-components-reactor	2.0.66		N/A
com.adobe.aem	core-forms-components-reactor	2.0.68		N/A
com.adobe.aem	core-forms-components-reactor	2.0.7-spa		N/A
com.adobe.aem	core-forms-components-reactor	2.0.70		N/A
com.adobe.aem	core-forms-components-reactor	2.0.72		N/A
com.adobe.aem	core-forms-components-reactor	2.0.74		N/A
com.adobe.aem	core-forms-components-reactor	2.0.76		N/A
com.adobe.aem	core-forms-components-reactor	2.0.78		N/A
com.adobe.aem	core-forms-components-reactor	2.0.8		N/A
com.adobe.aem	core-forms-components-reactor	2.0.80		N/A
com.adobe.aem	core-forms-components-reactor	2.0.82		N/A
com.adobe.aem	core-forms-components-reactor	2.0.84		N/A
com.adobe.aem	core-forms-components-reactor	2.0.86		N/A
com.adobe.aem	core-forms-components-reactor	2.0.88		N/A
com.adobe.aem	core-forms-components-reactor	2.0.90		N/A
com.adobe.aem	core-forms-components-reactor	2.0.90-restB004		N/A
com.adobe.aem	core-forms-components-reactor	2.0.92-eds		N/A
com.adobe.aem	core-forms-components-reactor	2.0.94-eds		N/A
com.adobe.aem	core-forms-components-reactor	2.0.96-eds		N/A
com.adobe.aem	core-forms-components-reactor	2.0.98-eds		N/A
com.adobe.aem	core-forms-components-reactor	3.0.0		N/A
com.adobe.aem	core-forms-components-reactor	3.0.10		N/A
com.adobe.aem	core-forms-components-reactor	3.0.100		N/A
com.adobe.aem	core-forms-components-reactor	3.0.100-xfaB002		N/A
com.adobe.aem	core-forms-components-reactor	3.0.102		N/A
com.adobe.aem	core-forms-components-reactor	3.0.104		N/A
com.adobe.aem	core-forms-components-reactor	3.0.106		N/A
com.adobe.aem	core-forms-components-reactor	3.0.12		N/A
com.adobe.aem	core-forms-components-reactor	3.0.14		N/A
com.adobe.aem	core-forms-components-reactor	3.0.16		N/A
com.adobe.aem	core-forms-components-reactor	3.0.18		N/A
com.adobe.aem	core-forms-components-reactor	3.0.2		N/A
com.adobe.aem	core-forms-components-reactor	3.0.2-eds		N/A
com.adobe.aem	core-forms-components-reactor	3.0.2-edsB002		N/A
com.adobe.aem	core-forms-components-reactor	3.0.2-edsB004		N/A
com.adobe.aem	core-forms-components-reactor	3.0.20		N/A
com.adobe.aem	core-forms-components-reactor	3.0.22		N/A
com.adobe.aem	core-forms-components-reactor	3.0.24		N/A
com.adobe.aem	core-forms-components-reactor	3.0.26		N/A
com.adobe.aem	core-forms-components-reactor	3.0.28		N/A
com.adobe.aem	core-forms-components-reactor	3.0.30		N/A
com.adobe.aem	core-forms-components-reactor	3.0.32		N/A
com.adobe.aem	core-forms-components-reactor	3.0.34		N/A
com.adobe.aem	core-forms-components-reactor	3.0.4		N/A
com.adobe.aem	core-forms-components-reactor	3.0.40		N/A
com.adobe.aem	core-forms-components-reactor	3.0.44		N/A
com.adobe.aem	core-forms-components-reactor	3.0.48		N/A
com.adobe.aem	core-forms-components-reactor	3.0.50		N/A
com.adobe.aem	core-forms-components-reactor	3.0.52		N/A
com.adobe.aem	core-forms-components-reactor	3.0.54		N/A
com.adobe.aem	core-forms-components-reactor	3.0.56		N/A
com.adobe.aem	core-forms-components-reactor	3.0.58		N/A
com.adobe.aem	core-forms-components-reactor	3.0.6		N/A
com.adobe.aem	core-forms-components-reactor	3.0.6-edsB004		N/A
com.adobe.aem	core-forms-components-reactor	3.0.64		N/A
com.adobe.aem	core-forms-components-reactor	3.0.66		N/A
com.adobe.aem	core-forms-components-reactor	3.0.68		N/A
com.adobe.aem	core-forms-components-reactor	3.0.70		N/A
com.adobe.aem	core-forms-components-reactor	3.0.72		N/A
com.adobe.aem	core-forms-components-reactor	3.0.74		N/A
com.adobe.aem	core-forms-components-reactor	3.0.76		N/A
com.adobe.aem	core-forms-components-reactor	3.0.8		N/A
com.adobe.aem	core-forms-components-reactor	3.0.80		N/A
com.adobe.aem	core-forms-components-reactor	3.0.82		N/A
