cn.detachment	core	1.0.8-RELEASE		3c6e6459decb01a32edd61fab82f9419d085b927
cn.toutatis	void-commons	0.0.0-ALPHA		N/A
cn.toutatis	void-commons	0.0.0-ALPHA-8		N/A
cn.toutatis	void-commons	0.0.1-ALPHA		N/A
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.6.3		13bee0cfebd84897510491f51da48f3f68aacaeb
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.6.4		2924c61535cc53a76c4d887f2ed11477500b8356
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.0		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.0-preview.2.0.0-RC2		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.0-preview.2.0.0-RC3		17d66b9b4d1f4efac0ee2dcbe82b38272c4c8e72
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.1		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.1-preview.2.0.0-RC3		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.2		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.7.2-preview.2.0.0-RC3		fad7ed97dfacd86b6fad4be4b0e443e48a1d7ddd
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.8.0		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.8.1		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.8.2		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.8.3		03f4b94ce624ae3c2f61d63449970673b66fb5d8
co.touchlab.skie	gradle-plugin-shim-impl-kgp_1.8.0__gradle_8.0	0.8.4		03f4b94ce624ae3c2f61d63449970673b66fb5d8
com.daikit	generics-utils	1.0		1fd1f317c839f23eef650869cea869450b075a56
com.daikit	generics-utils	1.1		2d8945b57342e656eac0d1cf0985fd0f650907f5
com.daikit	generics-utils	1.2		54b90eea51ba17ff44af8b8b4a48d1aced936db8
com.daikit	generics-utils	1.3		43b243276912ef9280c4b3ff6446a1943a70fbec
com.daikit	generics-utils	1.4		a7e1e19e85d90488966afef70b85e9c7f4c8b2aa
com.elevenware.felson.examples	one	0.0.1		b51d0471808c210657d1c671f2a9ebf42e420e71
com.elevenware.felson.examples	one	0.0.2		ccdbd60de7ceb201fe39d28bf3f6f145c3332b67
com.geraldoyudo.kweeri	kweeri-mongo	0.0.1		c622ecb6711e522a92ef768f19594d5dfa5dae77
com.geraldoyudo.kweeri	kweeri-mongo	1.0.0		e2d73cf9398382f009a3b2efae17a54162b66b59
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.3		d1e669d529c0f85dd1ebf27f1df22024c1a999aa
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.4		8eb68c286b8b2de59e6b43f02abc7c62e1fdde69
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.5		fc2461bda5b8e7c1ce1405cf59a9831339887ab8
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.7		34173a3b935287e82e0c49242e25c48c9999d659
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.8		d4ea28fc128713572658d3fc7398f0782770a803
com.github.TurquoiseSpace	spring-webflux-http-interceptor	0.0.9		ffcf78d2b321580783f645a13505e6d0c403e32f
com.github.aaronp	donovan_2.13	0.1.0		a96ffa41c4c7c5aee4a9a4770ca5d50b2bc11235
com.github.aaronp	donovan_2.13	0.1.1		e256c4e458f544cbeae3099481a2d782c2dd222e
com.github.aaronp	donovan_2.13	0.1.4		f0b903ae15354c7fd966a7ab411b1867843dd653
com.github.aaronp	donovan_2.13	0.1.6		4286e407ffa209133c7acb885216b533259c0c58
com.github.aaronp	donovan_2.13	0.13.0		6e0d8a85eb4ab790e2089d3586be8a24df6fd168
com.github.aaronp	donovan_2.13	0.13.1		a790f43262eedf7fc6fceb8e076ec29346bdba33
com.github.aaronp	donovan_2.13	0.13.2		0e5c1da36868cf9f9ad9ca9892335996e0a44653
com.github.aaronp	donovan_2.13	0.14.0		c0edf364c7398e08a4c7497640432318a97ff7ac
com.github.adchilds	jythonscript	1.0		0a32249b80d42a04e1c2a70673c338117fb7d93c
com.github.adchilds	jythonscript	2.0		3ff45b26b3a9c0fddc989d2168bdaf05e75c6b21
com.github.adchilds	jythonscript	2.0.1		30ae267c53266ba22cbbf99ba374864d2d711aaa
com.github.appundefined	annotationUtils	1.0-RELEASE		N/A
com.github.appundefined	annotationUtils	2.0-RELEASE		N/A
com.github.appundefined	annotationUtils	2.1-RELEASE		N/A
com.github.appundefined	annotationUtils	2.7-RELEASE		N/A
com.github.appundefined	annotationUtils	2.9-RELEASE		4ea0f2a2c5a5d11082dec3a6be437e92d6adce16
com.github.differentway	couchmove	1.0		4f8764b320892ee1b675d83f2a1eee0943366545
com.github.differentway	couchmove	1.0.1		eafea39322b7b4d00ee3b9695ae4003e8e39e55e
com.github.differentway	couchmove	1.0.2		daccb3864fbd580f74c752ac4296542ee692eebc
com.github.differentway	couchmove	1.1		22671d7ed258d1bb590edd50d91eb87015725f25
com.github.differentway	couchmove	2.0		ca538f14b4f173794ce47840c1cf425ae79b70e5
com.github.differentway	couchmove	2.0.1		56c6d8de43d5cfa314282e5980f2cf1e5422c1c7
com.github.differentway	couchmove	2.1		f95d0cfa5527ee9d361d10894707a7a967f718f7
com.github.differentway	couchmove	3.0		ebcec0c699d5491660036a2f0b0d39f777c79d2e
com.github.differentway	couchmove	3.0.1		01130b16219cd2e83d623a86f92e67c63dee0605
com.github.differentway	couchmove	3.1		1ceb66e5fae99bfb79abd3d42afb7c06b5a3ecc0
com.github.differentway	couchmove	3.1.1		c62d3878aaca968b889b8f0a3f26b2a9860faf30
