at.released.cassettes	cassettes-playhead-js	0.1-alpha01		N/A
cloud.prefab	logback-listener	0.3.8pre2		6251fe5b5f8d55cf764732a5d1588cbf6e98ce23
cloud.prefab	logback-listener	0.3.8pre3		90cfd43da77d6d64ab35b7c63b48542884f880a5
cloud.prefab	logback-listener	0.3.8pre4		cf452e91bc8362e3fa0f19cfd6e097bc21b4dfc7
cloud.prefab	logback-listener	0.3.8pre5		e8fa56674a250f28e0b76b7baa9bb9b0becdcc4f
cloud.prefab	logback-listener	0.3.8pre6		4f69781c5925307bb6aa17b8c5248c06c33889a7
cloud.prefab	logback-listener	0.3.9		af864d03548c32e00634b746e53da611c95f8e5b
com.aallam.openai	openai-core-native	0.1.0		N/A
com.aallam.openai	openai-core-native	0.1.0	metadata	c0205fdef9006b356ff23e52e1704a52e6371f51
com.aallam.openai	openai-core-native	0.1.1		N/A
com.aallam.openai	openai-core-native	0.1.1	metadata	0569787ac55e99a9deed48c4faf0ab269d53aa41
com.aallam.openai	openai-core-native	0.2.0		N/A
com.aallam.openai	openai-core-native	0.2.0	metadata	490faeab92d750b946080bac189505172ebe942e
com.aallam.openai	openai-core-native	0.3.0		N/A
com.aallam.openai	openai-core-native	0.3.0	metadata	fa408ab72875031204fa3c0830a6e7d9a00c2a64
com.aallam.openai	openai-core-native	0.4.0		N/A
com.aallam.openai	openai-core-native	0.4.0	metadata	eab7edc5e4b625a0ad6d93550ed11659fc4d13c6
com.aallam.openai	openai-core-native	0.5.0		N/A
com.aallam.openai	openai-core-native	0.5.0	metadata	d3940e1010db4e7ff62c06f406afb42180423f88
com.aallam.openai	openai-core-native	1.0.0		N/A
com.aallam.openai	openai-core-native	1.0.0	metadata	fdb2f430f8b5b7e1fb6e745d26535772f92c59f1
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.10.0		7f9c698bea557a75e4a5b343bbe638febc4492f3
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.10.1		53227174c65566b59833ca9459161a428be7c49b
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.2		d9fb5563cbf6c6fa61f0a265407823569e1e3e5b
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.3		993d75e68e9827f02dae39b0a30804997fb80a89
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.4		481a45d9ef569a4c66a532e12e1c76d65c0526bf
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.5		fbe6efb1a61c8206ffe742316aede78e128856fc
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.6		0b5185fd4b3ab48de17a5cbbbf1118797a16d81c
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.7		0b6735c380a923cdb3a723c0c9db38b431573bf7
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.11.8		54202b55eca980504553eb2cfc1a49f3ef061c61
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.12.0		64fbbbced899f612b168abd75cb0168fada65b74
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.12.1		9f99dc9803310e04959ff8f55264cda8b8cf4adf
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.12.2		2e88d59eeca40f53b8bbe2295eb72ec84c8a3700
com.anaptecs.jeaf.generator	jeaf-message-constants-generator	1.12.3		c04f2f3185cb3659cfbae77c212ab43dfa192c0f
