br.gov.frameworkdemoiselle.component	demoiselle-vaadin-parent	2.3.0		N/A
co.touchlab	testhelp-linuxmips32	0.3.8-1.4-M2		N/A
co.touchlab	testhelp-linuxmips32	0.3.8-1.4-M3		N/A
co.touchlab	testhelp-linuxmips32	0.3.8-1.4.0-rc		N/A
co.touchlab	testhelp-linuxmips32	0.4.0		N/A
co.touchlab	testhelp-linuxmips32	0.4.1		N/A
co.touchlab	testhelp-linuxmips32	0.5.3-hmpp		N/A
co.touchlab	testhelp-linuxmips32	0.5.3-hmpp	metadata	760a1808ebbe14b760b7041ad1f7b0713105f303
co.touchlab	testhelp-linuxmips32	0.5.4		N/A
co.touchlab	testhelp-linuxmips32	0.5.4	metadata	6967da17ebaaa1e9f598d1774c527bc314da2e6f
co.touchlab	testhelp-linuxmips32	0.5.5		N/A
co.touchlab	testhelp-linuxmips32	0.5.5	metadata	e1f96f80a40b9de3f462afa70ca03d7c2215c54d
co.touchlab	testhelp-linuxmips32	0.6.0		N/A
co.touchlab	testhelp-linuxmips32	0.6.0	metadata	724241f0bf7037d7e0f7411042d6e91f40133766
co.touchlab	testhelp-linuxmips32	0.6.1		N/A
co.touchlab	testhelp-linuxmips32	0.6.1	metadata	477376249a602747919d2b0e2cab13b342f062c7
co.touchlab	testhelp-linuxmips32	0.6.3		N/A
co.touchlab	testhelp-linuxmips32	0.6.3	metadata	dfc6fd0ba6d32ea2891227cdc5fa2496cf23f028
co.touchlab	testhelp-linuxmips32	0.6.4		N/A
co.touchlab	testhelp-linuxmips32	0.6.4	metadata	6ed97a1c88da38f02596a498d9840b1aa865e077
co.touchlab	testhelp-linuxmips32	0.6.5		N/A
com.47deg	lambda-test_2.12	1.3.1		cec498fedb2dcb4948c66050124ae3680fd142d1
com.anrisoftware.globalpom	globalpomutils-bundle	4.5.0		N/A
com.atlassian.besecart	DummyPkg	0.0.10		2baad7413079952f1210b5fa533fba27fb164182
com.atlassian.besecart	DummyPkg	0.0.11		2baad7413079952f1210b5fa533fba27fb164182
com.atlassian.besecart	DummyPkg	0.0.17		2baad7413079952f1210b5fa533fba27fb164182
com.atlassian.besecart	DummyPkg	0.0.6		2344fb8c744571ed7e41b4fa1c5ef744795d2be4
com.badoo.reaktive	utils-iosarm64	1.2.1		N/A
com.badoo.reaktive	utils-iosarm64	1.2.2		N/A
com.badoo.reaktive	utils-iosarm64	1.2.2	metadata	ddfcb56b186ab658a24d0a4092447fb59130c541
com.badoo.reaktive	utils-iosarm64	1.2.3		N/A
com.badoo.reaktive	utils-iosarm64	1.2.3	metadata	e520f0e42d833497c005063c105dd8dbeb283e77
com.badoo.reaktive	utils-iosarm64	1.3.0		N/A
com.badoo.reaktive	utils-iosarm64	1.3.0	metadata	eed3128d174e5e137144ee136c0e57219cf65480
com.basistech	pathname-util-maven-plugin	1.0		06505df5715564f4460a6eeab24b2d946d00b8b2
com.basistech	pathname-util-maven-plugin	1.1		6a3d914deb969472854fb40ccfb323284265af2a
com.blockscore	blockscore-java	4.0.0		fcf3484d55c56ef6a297e421af6df7b0b90421f2
com.blockscore	blockscore-java	4.0.1		15a331b35ec67bc34fd6287f9743f7d80fbcfb72
com.blockscore	blockscore-java	4.0.2		58353ba77195616d79789fd6463b03bca4737c24
com.corgibytes	mrm	1.4.2		N/A
com.disneystreaming	weaver-monix-bio_2.12	0.6.0		a159e84fcf8786fdc6a2920f8452482cbe8f5185
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M1		5b491fd3f3f31d514e5e1479ba1de68e64e1cede
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M2		8d16d444e802219742402882e94cf3941e430779
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M3		24b5447abcf333e03664580bdd06a958e1a80d3a
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M4		380f754b312db22ab723620bdda6922900780cc9
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M5		6d94d2e38526bb6c414d9c4ea3e498fd2fa278d9
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M6		3d5bc7a27568066a83c04bca0ea010edc9df5127
com.disneystreaming	weaver-monix-bio_2.12	0.6.0-M7		1d54d28c3372914a18a1c1a95029435221e2a589
com.disneystreaming	weaver-monix-bio_2.12	0.6.1		7b8787d582ebaf873f3e75929fcd3c296fae0366
com.disneystreaming	weaver-monix-bio_2.12	0.6.10		3c51d4968f2bfc459d592bf9e184222b51302dac
com.disneystreaming	weaver-monix-bio_2.12	0.6.11		d12f864b16a4624d824d54a2509feb2d5c02241f
com.disneystreaming	weaver-monix-bio_2.12	0.6.12		10c261c4ee9a6f136cd404cb0bc2c490a7727e2e
