be.atbash.jakarta.config	config-parent	1.0.0		N/A
cn.asany.chaos	jfantasy-core	2.10.0		e817de9c2c70f7a7b7cccc9bac3094e6407063bb
cn.asany.chaos	jfantasy-core	2.10.2		1da602065e40b71de5080db380f7c22703a05120
cn.asany.chaos	jfantasy-core	2.11.0		14a646c804e3b95a53dd74570ba91d1a7f487fd5
cn.asany.chaos	jfantasy-core	2.8.5		5afc7f5353ec8976989693b1a6a5128f5d5624e9
cn.asany.chaos	jfantasy-core	2.8.7		e9bc963e8345e8930b4c4fd3c82cc3783a757edf
cn.asany.chaos	jfantasy-core	2.8.9		7620e5265cdf868de68b2b8eb93d5db7d49b5f88
cn.asany.chaos	jfantasy-core	2.9.0		cfb5f3e849247a7dd237ea19fc8443c7db77c778
cn.asany.chaos	jfantasy-core	2.9.1		ba94152ca552c60a7c53d68c37cb5ef977081594
cn.asany.chaos	jfantasy-core	2.9.10		72842962aa8ed631f7c74777ef337145317eb9a7
cn.asany.chaos	jfantasy-core	2.9.3		05ac5f85acaf6dc7d10a9f5ccac891ea9fe0aeeb
cn.asany.chaos	jfantasy-core	2.9.4		7112d651995b3f831250b946c0e8e4fab7f2d849
cn.asany.chaos	jfantasy-core	2.9.5		8566fd57bc8912e37962e2697e59034ed45518df
cn.asany.chaos	jfantasy-core	2.9.6		c5947f1613fac90484029138203e93080a61cd6c
cn.asany.chaos	jfantasy-core	2.9.7		fca05f199853d3ea361c9adbea1ad110d1bbf61d
cn.asany.chaos	jfantasy-core	2.9.9		cc4e1abf298b5ba9d02cacd44c4ee3aa260b4ea9
cn.lingyangwl.framework	validation-spring-boot-starter	1.1.0		94ed92e48b0d4e6aed72a47ca38e3d317766b614
cn.lingyangwl.framework	validation-spring-boot-starter	1.2.0		dfaf87fc40aa1aa007e2289a89024b1a054c6fa0
cn.lingyangwl.framework	validation-spring-boot-starter	1.3.0		40b07076b085d875c9c2615a11b7801b066bdbd1
com.abubusoft	kripton	1.0.0		2d439c508363d669046494135675730548dea935
com.abubusoft	kripton	1.2.67		fbbfc93fb76872621ef8662890c773af9c3e2419
com.abubusoft	kripton	1.3.0		865da1e94358d5e9acdd155220e17cb79dcfda9f
com.abubusoft	kripton	1.4.0		3ac68f664988a42e3e9a58e396f274cb2abddede
com.abubusoft	kripton	1.5.0		2fbe9ecd57f205937a031717c18e3c92e9ab1ed8
com.abubusoft	kripton	1.6.0		1eb4d66b6afbf4cdccafdd7e329632d63abae005
com.abubusoft	kripton	1.6.1		0d9902137cc7c5f0c904cacf82d5be3b90a1f667
com.abubusoft	kripton	2.0.0		8984d36a8c7080c920fdd1b365642ff274b7a69a
com.abubusoft	kripton	2.0.1		1f6aa2c3c22bb5889f3de3e348fdc9b40a6df741
com.abubusoft	kripton	2.0.2		6399ea89a6fb8e00ba711aafef953a8b7a7461bf
com.abubusoft	kripton	3.0.0		733221d7e02bc2595a5fb64a5ff31fac615bc0a9
com.abubusoft	kripton	3.0.1		9f2bb19366315486692bb202afc9c2c79af0cd8d
com.abubusoft	kripton	3.0.2		f8751a667ad289c01f8585b3dfba287311f0976b
com.abubusoft	kripton	3.1.0		70e5bfb5340107fe17dd34258141f94e684c6ae1
com.abubusoft	kripton	3.3.0		d9e87f7a3e7d69baa6848f8012a1288b154de754
com.abubusoft	kripton	3.4.0		dee98191d1f71d9a3eedebea51bf5ce2ee7a5c78
com.abubusoft	kripton	3.4.1		d750dbc4b2267a79313b16e31b68797ff6742676
com.abubusoft	kripton	3.5.0		4b70e3ea966062bf4275f48c9a47cc4e00462c6e
com.abubusoft	kripton	4.0.0		eef05ec280b385ae5c621d233d416ca1924ea41a
com.abubusoft	kripton	4.0.0-rc.1		5715decdfa939cf4648eb209c742c6eade0a97a5
com.abubusoft	kripton	4.0.0-rc.10		3dde849c2b70e31a36de9aec237218017adc1758
com.abubusoft	kripton	4.0.0-rc.11		6c4e9b1d37be476142f9762b322bbda4de3a3336
com.abubusoft	kripton	4.0.0-rc.12		bdf951cda5a0634aa5a9330f283ccc2775a81080
com.abubusoft	kripton	4.0.0-rc.14		15c0f7a8f38b222a3ec9a08d7cced15eff011c83
