app.bondar.gradle.git-version	app.bondar.gradle.git-version.gradle.plugin	1.0.0	-	25d175af013c7eb9b2d2d586f548176d7dcd9c43
app.cash.paging	paging-testing-tvosx64	3.3.0-alpha02-0.4.0	3.3.0-alpha02-0.4.0-metadata	036b993e6d258d7230fff8285ae72e806eef95c9
app.cash.paging	paging-testing-tvosx64	3.3.0-alpha02-0.5.0	3.3.0-alpha02-0.5.0-metadata	65e7bdc4e31acdfe8d1c9947db7c356e49604f6d
app.cash.paging	paging-testing-tvosx64	3.3.0-alpha02-0.5.1	3.3.0-alpha02-0.5.1-metadata	104713a9146b45576cba897f5162c9558b8e8943
app.ubie	spanner-kase	1.0.0	-	0dbc23ac30e4cc22801f804395187f81bcc17712
app.ubie	spanner-kase	1.1.0	-	71338a0a68cc12681bd291c43b48a8007cd11b32
app.ubie	spanner-kase	1.1.1	-	f01af688750b602b171fb75324a79681416e13d3
app.ubie	spanner-kase	1.1.2	-	d2efb843c236d76794e3d0a2346ea19e10439d5d
app.ubie	spanner-kase	1.1.3	-	6591841382e082f14c6407c1074241a0058bff35
app.ubie	spanner-kase	1.1.4	-	b7295d5e91be66ac40f4054b747dd760ea62b276
au.id.tmm.fetch	fetch-aws_2.13	0.7.0	-	7b2cbe93e7c872b6738836fbea62a913915478f5
au.id.tmm.fetch	fetch-aws_2.13	0.8.0	-	5f1f9537f25e78ecbb9a09aa53b4eb0574b7db41
au.id.tmm.fetch	fetch-aws_2.13	0.9.0	-	e8febb89f445406b68b4841a9b5bf28cdf98832e
au.id.tmm.fetch	fetch-aws_2.13	0.9.1	-	32eab50af9158cc571932ea689267721672550c6
au.id.tmm.fetch	fetch-aws_2.13	0.9.2	-	6eb8ecdd238d9e83248bcddca8c7e3fb00aa1d13
aws.sdk.kotlin	emrserverless	0.16.1-beta	-	582b1146c741e4958ee8fce9fe1979e62090d5ce
aws.sdk.kotlin	emrserverless	0.16.2-beta	-	661a9fbb5fa8b3c55eea2b52b46abdab3b163035
aws.sdk.kotlin	emrserverless	0.16.3-beta	-	759ad808d34c9e83e1dbfbbf58df0576db651190
aws.sdk.kotlin	emrserverless	0.16.4-beta	-	e3f3466da6d90fe47d56f73a149380c2c4ae1f6f
aws.sdk.kotlin	emrserverless	0.16.5-beta	-	5bf1037aa69a35101a0618c5ce01c07d82697927
aws.sdk.kotlin	emrserverless	0.16.6-beta	-	85b718f03e97e3892e1d5cf5031bba1202944b6e
aws.sdk.kotlin	emrserverless	0.16.7-beta	-	09cb7d583349227449cc2c841c57170f20ee6fb9
aws.sdk.kotlin	emrserverless	0.17.0-beta	-	e1c87d2f5dc2e7fa1db00cb245756856f225ba9c
aws.sdk.kotlin	emrserverless	0.17.1-beta	-	197ab3331a817723ac6419edcd5fad612de639a4
