activesoap	jaxp-api	1.3	-	07fb813b09bdca6485f45a7f4b24a7f28249b753
ai.mantik	componently_2.13	0.4.0	-	24eef410240a581bae62e614f095b397f1886d91
ai.mantik	componently_2.13	0.4.0-rc1	-	96a390a9f48e8bee36540e61e98f8f6886387ca2
ai.tock	tock-bot-connector-google-chat	20.3.3	-	4b5cbdf0d4e05bd687ae4cd86ba976047ff36c39
ai.tock	tock-bot-connector-google-chat	20.3.4	-	2f36f06de01e2182adbaeaf39f9330402aaa8c7c
ai.tock	tock-bot-connector-google-chat	20.9.0	-	1d2fc9463775a0a287af2c4278e72d3af4ff49d2
ai.tock	tock-bot-connector-google-chat	20.9.1	-	9c1f28290d82d533d7941f5afa7696442a73c716
ai.tock	tock-bot-connector-google-chat	20.9.2	-	7efe6f35b2fda71cf8d96dec03c7edcb57676793
ai.tock	tock-bot-connector-google-chat	20.9.2-1	-	f9cc14b1de78d959f8adec913f989eb71d33b02f
ai.tock	tock-bot-connector-google-chat	20.9.3	-	6ec09eaf798774778397ed7c2b07802bfc9717f2
ai.tock	tock-bot-connector-google-chat	21.3.0	-	0853af62368393f6a818702823125013a5a83dc9
ai.tock	tock-bot-connector-google-chat	21.3.1	-	4a7e8b42f80a6ac75f36e0f0b21845cc527ff0a1
ai.tock	tock-bot-connector-google-chat	21.3.2	-	6c8fa330a92803daadd102a1d2f2cadc5dfd2b46
ai.tock	tock-bot-connector-google-chat	21.3.3	-	f035a4ed9a141fc0e0aa8af7784a632c2d1ee980
ai.tock	tock-bot-connector-google-chat	21.3.4	-	fa1b74a36a1cd0002b494bdc103aab7243762b8c
ai.tock	tock-bot-connector-google-chat	21.3.5	-	d29133df9944a4345a6529cc505ad77b9c7c70de
ai.tock	tock-bot-connector-google-chat	21.9.0	-	b648619f4ccc7c08b0230fb6d34e46c1cb9e9290
ai.tock	tock-bot-connector-google-chat	21.9.1	-	38a11035e0154c2dd22284d054468b2d416f8215
ai.tock	tock-bot-connector-google-chat	21.9.2	-	753416f8f8fe919919d881fa0035eb02bc78ecd6
ai.tock	tock-bot-connector-google-chat	21.9.3	-	608a72008d6becaa76c87f4f39c5ca4c0d5d1d49
ai.tock	tock-bot-connector-google-chat	21.9.4	-	ff139ef0ce3c68ef19ba291254f446d2eea44ed2
ai.tock	tock-bot-connector-google-chat	21.9.5	-	99a04bb39c954f97b38cd01f5cbddc4f38744850
ai.tock	tock-bot-connector-google-chat	21.9.6	-	23c316c0983f53a17608a7b595d706cb643c70a8
ai.tock	tock-bot-connector-google-chat	22.3.0	-	02830f61c0958017d496a44f8549f011c039c245
ai.tock	tock-bot-connector-google-chat	22.3.1	-	a3a50bdde831b39ec960a96d74a92a2d1bba5610
ai.tock	tock-bot-connector-google-chat	22.3.2	-	f473ae2faf87bfc7f7938bb14b17c220bb1ab5af
ai.tock	tock-bot-connector-google-chat	22.9.0	-	42a7ad54df76587d10fc831609d9bac871120cac
ai.tock	tock-bot-connector-google-chat	22.9.1	-	1b61fdb86c60936118124a278991126437457ef9
ai.tock	tock-bot-connector-google-chat	22.9.2	-	1c210ab63add506e68975174332fa78acbad8836
ai.tock	tock-bot-connector-google-chat	22.9.3	-	fb642e7ae607ca2905d486804c17c1edab9f5d7b
ai.tock	tock-bot-connector-google-chat	22.9.4	-	175ac82da05ab9441a58dcfe6f0f14760762a449
ai.tock	tock-bot-connector-google-chat	22.9.5	-	a2d377b96c4c44b7e1834fe6af32aa38007dcb09
ai.tock	tock-bot-connector-google-chat	23.3.0	-	4cffac4746b96424b268caf89e0f3e9ce1a5d376
ai.tock	tock-bot-connector-google-chat	23.3.1	-	0b45ce8e54dbce8a3d81a77ea6779a4dd4f79a63
ai.tock	tock-bot-connector-google-chat	23.3.2	-	697a5b1d751d11197286ff52117d4dbc636f87c0
ai.tock	tock-bot-connector-google-chat	23.3.3	-	ff4a7afd72df0485022565bfa49325374cf8c667
ai.tock	tock-bot-connector-google-chat	23.3.4	-	6d6d71c453fa22a6f75dc5e0d5c6190b040dcac1
ai.tock	tock-bot-connector-google-chat	23.9.0	-	e934283d0f8f798f9a28b01dcbdcf3473cbd93be
